Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
121 ARCHIBALD ST,6050031000,OH-One & 1/2 Storey,2019,2,"$180,000","$197,500"
157 ARCHIBALD ST,6093261100,OH-One & 1/2 Storey,2020,7,"$203,000","$213,600"
175 ARCHIBALD ST,6050075000,OS-One Storey,2020,12,"$140,000","$142,700"
228 AUBERT ST,6060414000,TO-Two/One Storey,2020,12,"$490,000","$499,300"
230 AUBERT ST,6060415000,OS-One Storey,2019,8,"$284,000","$309,000"
232 AUBERT ST,6060416000,OS-One Storey,2020,12,"$260,000","$264,900"
11 DES INTREPIDES PROM,6061411900,FL-4 Level Split,2019,8,"$565,000","$614,700"
47 DES INTREPIDES PROM,6061413700,OS-One Storey,2019,8,"$560,000","$609,300"
83 DES INTREPIDES PROM,6061415500,OS-One Storey,2021,2,"$498,500","$501,500"
201 DUMOULIN ST,6060280100,O3-One & 3/4 Storey,2019,8,"$207,500","$225,800"
205 DUMOULIN ST,6060282000,OH-One & 1/2 Storey,2020,6,"$307,000","$324,800"
235 DUMOULIN ST,6060291000,TH-Two & 1/2 Storey,2019,4,"$365,000","$399,300"
245 DUMOULIN ST,6060958000,OS-One Storey,2020,2,"$240,000","$259,200"
265 DUMOULIN ST,6060964000,OS-One Storey,2020,12,"$265,000","$270,000"
274 DUMOULIN ST,6060986000,OS-One Storey,2019,9,"$285,528","$310,400"
308 DUMOULIN ST,6060440000,OH-One & 1/2 Storey,2020,4,"$252,500","$270,700"
325 DUMOULIN ST,6060451000,OS-One Storey,2019,1,"$217,200","$238,500"
345 DUMOULIN ST,6060849000,O3-One & 3/4 Storey,2019,8,"$244,000","$265,500"
468 DUMOULIN ST,6051063000,OH-One & 1/2 Storey,2019,2,"$280,000","$307,200"
468 DUMOULIN ST,6051063000,OH-One & 1/2 Storey,2019,11,"$285,000","$308,900"
489 DUMOULIN ST,6050069000,O3-One & 3/4 Storey,2020,4,"$276,500","$296,400"
131 GRANDIN ST,6060124000,OS-One Storey,2019,8,"$234,000","$254,600"
137 GRANDIN ST,6060126000,OH-One & 1/2 Storey,2019,9,"$302,750","$329,100"
147 GRANDIN ST,6060129000,OS-One Storey,2020,12,"$216,750","$220,900"
151 HEBERT ST,6093461780,TS-Two Storey,2019,7,"$720,000","$784,800"
686 LA FLECHE ST,6050084000,OS-One Storey,2020,6,"$185,000","$195,700"
197 LA VERENDRYE ST,6060424000,OS-One Storey,2019,11,"$250,000","$271,000"
310 LA VERENDRYE ST,6060509000,OS-One Storey,2020,10,"$395,100","$407,700"
502 LA VERENDRYE ST,6050017500,OS-One Storey,2020,7,"$190,000","$199,900"
508 LA VERENDRYE ST,6050015000,BL-Bi-Level,2021,1,"$286,000","$289,700"
178 MESSAGER ST,6093461635,TS-Two Storey,2019,11,"$875,000","$948,500"
190 MESSAGER ST,6093461650,TS-Two Storey,2020,12,"$690,000","$703,100"
132 NOTRE DAME ST,6060239000,OS-One Storey,2020,10,"$267,500","$276,100"
218 NOTRE DAME ST,6060259000,OH-One & 1/2 Storey,2020,7,"$271,500","$285,600"
227 NOTRE DAME ST,6060234000,OS-One Storey,2019,9,"$328,000","$356,500"
264 NOTRE DAME ST,6060947000,OH-One & 1/2 Storey,2020,5,"$286,500","$305,100"
281 NOTRE DAME ST,6060528000,OS-One Storey,2020,3,"$275,000","$296,500"
285 NOTRE DAME ST,6060529000,TS-Two Storey,2021,2,"$441,000","$443,600"
301 NOTRE DAME ST,6060533000,BL-Bi-Level,2020,6,"$421,000","$445,400"
316 NOTRE DAME ST,6060447000,OH-One & 1/2 Storey,2020,11,"$317,500","$325,800"
424 NOTRE DAME ST,6051042000,OH-One & 1/2 Storey,2020,2,"$280,500","$302,900"
483 NOTRE DAME ST,6050043000,OH-One & 1/2 Storey,2020,2,"$264,000","$285,100"
484 NOTRE DAME ST,6050059000,OS-One Storey,2019,10,"$295,000","$320,100"
489 NOTRE DAME ST,6050041000,OH-One & 1/2 Storey,2019,12,"$208,000","$225,300"
495 NOTRE DAME ST,6050040000,BL-Bi-Level,2020,10,"$330,000","$340,600"
496 NOTRE DAME ST,6050056000,OH-One & 1/2 Storey,2019,6,"$289,000","$315,300"
505 NOTRE DAME ST,6050035000,OH-One & 1/2 Storey,2019,9,"$170,000","$184,800"
505 NOTRE DAME ST,6050035000,OH-One & 1/2 Storey,2020,4,"$275,000","$294,800"
283 PROVENCHER BLVD,6061002000,TS-Two Storey,2019,11,"$575,000","$623,300"
293 PROVENCHER BLVD,6061004000,TH-Two & 1/2 Storey,2019,3,"$635,000","$695,300"
730 ST JEAN BAPTISTE ST,6060507000,TS-Two Storey,2021,3,"$585,000","$585,000"
738 ST JEAN BAPTISTE ST,6060508000,OS-One Storey,2020,12,"$175,000","$178,300"
784 ST JOSEPH ST,6061409000,BL-Bi-Level,2020,10,"$394,900","$407,500"
309 THIBAULT ST,6061424200,TS-Two Storey,2020,6,"$455,000","$481,400"
313 THIBAULT ST,6061424400,TS-Two Storey,2020,8,"$577,000","$603,000"
433 AULNEAU ST,6070571000,TS-Two Storey,2019,10,"$280,000","$303,800"
451 AULNEAU ST,6070577000,OH-One & 1/2 Storey,2020,5,"$341,100","$363,300"
457 AULNEAU ST,6070579000,OH-One & 1/2 Storey,2020,10,"$355,000","$366,400"
608 AULNEAU ST,6061297000,TS-Two Storey,2020,9,"$480,000","$498,200"
624 AULNEAU ST,6061302000,TS-Two Storey,2020,9,"$565,000","$586,500"
192 BERTRAND ST,6070027000,TS-Two Storey,2019,11,"$231,000","$250,400"
195 BERTRAND ST,6070533000,BL-Bi-Level,2019,4,"$447,560","$489,600"
207 BERTRAND ST,6070529000,OH-One & 1/2 Storey,2019,10,"$233,500","$253,300"
215 BERTRAND ST,6070526000,OS-One Storey,2019,5,"$200,000","$218,400"
227 BERTRAND ST,6070520000,TS-Two Storey,2019,11,"$362,500","$393,000"
229 BERTRAND ST,6070519000,TH-Two & 1/2 Storey,2019,7,"$300,000","$327,000"
248 BERTRAND ST,6070045000,OH-One & 1/2 Storey,2019,4,"$220,000","$240,700"
287 BERTRAND ST,6071029000,TS-Two Storey,2019,12,"$370,000","$400,700"
422 BERTRAND ST,6081602800,OS-One Storey,2019,4,"$212,500","$232,500"
426 BERTRAND ST,6081603400,OS-One Storey,2019,8,"$210,000","$228,500"
315 DE LA CATHEDRALE AVE,6060805000,TS-Two Storey,2019,11,"$395,000","$428,200"
