Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
1301 BEAUMONT ST,3071117000,OS-One Storey,2020,11,"$195,000","$199,900"
1038 BYNG PL,3071849000,OH-One & 1/2 Storey,2020,8,"$263,250","$274,800"
1127 BYNG PL,3071853500,OS-One Storey,2019,2,"$315,000","$341,100"
1130 BYNG PL,3071858000,OS-One Storey,2019,8,"$274,500","$296,500"
1014 EDDERTON AVE,3071904000,OS-One Storey,2020,12,"$215,000","$218,900"
1022 EDDERTON AVE,3071902000,OS-One Storey,2021,2,"$202,000","$203,200"
1030 EDDERTON AVE,3093002730,TS-Two Storey,2020,12,"$465,000","$473,400"
1034 EDDERTON AVE,3092984010,OS-One Storey,2020,11,"$450,000","$461,300"
1038 EDDERTON AVE,3071897000,OH-One & 1/2 Storey,2020,12,"$325,000","$330,900"
1047 EDDERTON AVE,3071944000,OH-One & 1/2 Storey,2019,11,"$210,000","$226,400"
1116 EDDERTON AVE,3071891000,OS-One Storey,2020,7,"$289,900","$304,400"
1214 EDDERTON AVE,3071883000,OS-One Storey,2019,7,"$193,700","$209,200"
1224 EDDERTON AVE,3071880000,OS-One Storey,2019,11,"$201,000","$216,700"
1236 EDDERTON AVE,3071877000,OS-One Storey,2020,6,"$295,000","$311,500"
1317 EDDERTON AVE,3072071000,OS-One Storey,2020,5,"$326,000","$346,500"
7 JUPITER BAY,3071344000,OS-One Storey,2019,7,"$345,000","$372,600"
47 JUPITER BAY,3071305000,OS-One Storey,2019,11,"$260,000","$280,300"
61 JUPITER BAY,3071298000,OS-One Storey,2020,9,"$288,550","$299,200"
1410 MARS DR,3071437100,OS-One Storey,2020,11,"$302,500","$310,100"
1423 MARS DR,3071249000,OS-One Storey,2020,10,"$318,000","$327,900"
1430 MARS DR,3071447100,OS-One Storey,2020,8,"$371,430","$387,800"
31 MERCURY BAY,3071175000,OS-One Storey,2019,6,"$308,000","$332,900"
33 MERCURY BAY,3071174000,TL-3 Level Split,2019,7,"$325,000","$351,000"
21 NEPTUNE BAY,3071263000,OS-One Storey,2019,7,"$441,000","$476,300"
1057 PARKER AVE,12097739900,TS-Two Storey,2019,9,"$390,000","$420,800"
1079 PARKER AVE,12001911000,O3-One & 3/4 Storey,2019,4,"$168,000","$181,800"
1116 PARKER AVE,12001954000,OS-One Storey,2020,10,"$270,000","$278,400"
1128 PARKER AVE,12001952000,OS-One Storey,2019,7,"$223,500","$241,400"
1145 PARKER AVE,12097808425,OH-One & 1/2 Storey,2020,12,"$333,500","$339,500"
1147 PARKER AVE,12097808420,TS-Two Storey,2020,8,"$365,000","$381,100"
1149 PARKER AVE,12097808415,OH-One & 1/2 Storey,2020,10,"$329,500","$339,700"
1165 PARKER AVE,12002053000,OH-One & 1/2 Storey,2019,9,"$135,000","$145,700"
1184 PARKER AVE,12002034500,OS-One Storey,2020,6,"$282,000","$297,800"
1185 PARKER AVE,12097639000,TS-Two Storey,2019,4,"$555,000","$600,500"
1015 RIVERWOOD AVE,3071037100,OS-One Storey,2019,8,"$259,000","$279,700"
1115 RIVERWOOD AVE,3071063000,OS-One Storey,2020,12,"$207,000","$210,700"
1133 RIVERWOOD AVE,3071066000,OS-One Storey,2020,12,"$252,000","$256,500"
1141 RIVERWOOD AVE,3071068000,BL-Bi-Level,2019,8,"$365,000","$394,200"
5 ROSEMOUNT BAY,3071365000,OS-One Storey,2020,10,"$355,000","$366,000"
6 ROSEMOUNT BAY,3071362000,OS-One Storey,2019,11,"$282,000","$304,000"
1024 ROSEMOUNT AVE,3071932000,OS-One Storey,2020,1,"$320,000","$344,600"
1142 ROSEMOUNT AVE,3072124000,OH-One & 1/2 Storey,2019,4,"$195,000","$211,000"
1203 ROSEMOUNT AVE,3072085000,O3-One & 3/4 Storey,2020,8,"$269,900","$281,800"
1205 ROSEMOUNT AVE,3072086000,OS-One Storey,2019,9,"$210,000","$226,600"
1213 ROSEMOUNT AVE,3072088000,OS-One Storey,2020,5,"$260,000","$276,400"
1233 ROSEMOUNT AVE,3072093000,OS-One Storey,2019,3,"$142,000","$153,600"
1307 ROSEMOUNT AVE,3072077000,OS-One Storey,2020,4,"$260,000","$277,900"
1321 ROSEMOUNT AVE,3072080500,OH-One & 1/2 Storey,2019,9,"$279,000","$301,000"
1325 ROSEMOUNT AVE,3072081500,OH-One & 1/2 Storey,2019,7,"$292,000","$315,400"
1334 ROSEMOUNT AVE,3072064000,OH-One & 1/2 Storey,2019,8,"$291,000","$314,300"
8 SATURN BAY,3071207000,OS-One Storey,2019,8,"$357,000","$385,600"
10 SATURN BAY,3071208000,OS-One Storey,2020,12,"$350,000","$356,300"
42 SATURN BAY,3071215000,OS-One Storey,2021,3,"$340,000","$340,000"
1140 SOMERVILLE AVE,3071790000,OS-One Storey,2021,2,"$205,000","$206,200"
1161 SOMERVILLE AVE,3071764000,OS-One Storey,2020,12,"$227,400","$231,500"
1165 SOMERVILLE AVE,3071765000,OS-One Storey,2020,10,"$196,000","$202,100"
1329 SOMERVILLE AVE,3071775000,OH-One & 1/2 Storey,2020,7,"$257,000","$269,900"
1400 SOMERVILLE AVE,3071412000,OH-One & 1/2 Storey,2020,1,"$230,000","$247,700"
1418 SOMERVILLE AVE,3071242000,OS-One Storey,2020,11,"$337,000","$345,400"
1420 SOMERVILLE AVE,3071241000,OS-One Storey,2020,8,"$310,000","$323,600"
1444 SOMERVILLE AVE,3071223000,O3-One & 3/4 Storey,2021,1,"$320,000","$323,800"
1003 SOUTHWOOD AVE,3071024000,BL-Bi-Level,2021,1,"$386,000","$390,600"
1005 SOUTHWOOD AVE,3093003105,BL-Bi-Level,2021,1,"$355,000","$359,300"
1014 SOUTHWOOD AVE,3093005255,BL-Bi-Level,2019,8,"$373,062","$402,900"
1016 SOUTHWOOD AVE,3093005250,BL-Bi-Level,2019,9,"$384,861","$415,300"
1017 SOUTHWOOD AVE,3071019500,TS-Two Storey,2020,2,"$245,000","$263,600"
1018 SOUTHWOOD AVE,3071029000,OS-One Storey,2019,7,"$267,000","$288,400"
1119 SOUTHWOOD AVE,3071044000,TO-Two/One Storey,2020,12,"$490,476","$499,300"
1128 SOUTHWOOD AVE,3071053000,OH-One & 1/2 Storey,2019,5,"$300,000","$324,300"
1131 SOUTHWOOD AVE,3071041000,OS-One Storey,2019,1,"$198,000","$214,400"
18 VENUS BAY,3071380000,OS-One Storey,2019,5,"$347,000","$375,100"
23 VENUS BAY,3071373000,OS-One Storey,2020,8,"$380,000","$396,700"
24 VENUS BAY,3071377000,OS-One Storey,2020,9,"$395,000","$409,600"
8 WATERFORD BAY,3071467000,TS-Two Storey,2020,6,"$279,000","$294,600"
12 WATERFORD BAY,3071465000,OS-One Storey,2019,12,"$300,000","$323,100"
25 WATERFORD BAY,3071421000,FL-4 Level Split,2020,9,"$350,000","$363,000"
1001 WATERFORD AVE,3071671000,TS-Two Storey,2020,7,"$329,457","$345,900"
1104 WATERFORD AVE,3071633000,OS-One Storey,2019,10,"$476,190","$513,300"
1110 WATERFORD AVE,3071637000,OS-One Storey,2020,5,"$388,000","$412,400"
1131 WATERFORD AVE,3071673100,OS-One Storey,2019,6,"$364,900","$394,500"
3 WINDERMERE BAY,3071400000,OS-One Storey,2020,9,"$405,000","$420,000"
1031 WINDERMERE AVE,3071814000,OS-One Storey,2019,9,"$250,000","$269,800"
1036 WINDERMERE AVE,3093009540,TS-Two Storey,2020,11,"$343,992","$352,600"
1107 WINDERMERE AVE,3071818000,OS-One Storey,2019,5,"$185,000","$200,000"
1107 WINDERMERE AVE,3071818000,OS-One Storey,2020,3,"$218,000","$234,600"
1115 WINDERMERE AVE,3071820000,OH-One & 1/2 Storey,2019,1,"$255,000","$276,200"
1121 WINDERMERE AVE,3071822000,OS-One Storey,2021,3,"$290,101","$290,100"
1126 WINDERMERE AVE,3071725000,OS-One Storey,2019,11,"$340,000","$366,500"
1135 WINDERMERE AVE,3071825000,OS-One Storey,2020,9,"$285,000","$295,500"
1220 WINDERMERE AVE,3071733000,TS-Two Storey,2019,7,"$339,900","$367,100"
1228 WINDERMERE AVE,3071735000,OH-One & 1/2 Storey,2021,3,"$285,000","$285,000"
1301 WINDERMERE AVE,3071835000,OH-One & 1/2 Storey,2019,10,"$346,000","$373,000"
1338 WINDERMERE AVE,3071747000,OS-One Storey,2020,7,"$363,500","$381,700"
1 BEAUMONT BAY,3070951300,TS-Two Storey,2020,1,"$227,000","$244,500"
32 BEAUMONT BAY,3070944900,TS-Two Storey,2019,6,"$213,000","$230,300"
