Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
15 BERKSHIRE BAY,6024002000,TS-Two Storey,2021,2,"$265,000","$266,900"
23 BERKSHIRE BAY,6024003500,TS-Two Storey,2020,10,"$190,000","$197,000"
27 BERKSHIRE BAY,6024004000,FL-4 Level Split,2020,8,"$220,000","$231,400"
28 BERKSHIRE BAY,6025035000,TS-Two Storey,2020,3,"$222,500","$242,500"
41 BERKSHIRE BAY,6024006500,FL-4 Level Split,2020,3,"$196,500","$214,200"
45 BERKSHIRE BAY,6024007000,TS-Two Storey,2019,1,"$210,000","$230,600"
47 BERKSHIRE BAY,6024007500,TS-Two Storey,2020,9,"$232,000","$242,200"
107 BERKSHIRE BAY,6024048000,TS-Two Storey,2020,6,"$215,000","$229,400"
118 BERKSHIRE BAY,6025006500,TS-Two Storey,2019,10,"$215,000","$235,000"
135 BERKSHIRE BAY,6024054000,TS-Two Storey,2019,6,"$230,000","$251,900"
173 BERKSHIRE BAY,6024061000,TS-Two Storey,2019,10,"$209,000","$228,400"
212 BERKSHIRE BAY,6025025000,TS-Two Storey,2019,10,"$212,000","$231,700"
28 DRAKE BLVD,6025046000,TS-Two Storey,2019,10,"$214,400","$234,300"
896 DUGAS ST,6021144000,OS-One Storey,2019,8,"$165,000","$180,500"
907 DUGAS ST,6021140100,TS-Two Storey,2019,9,"$243,500","$266,100"
909 DUGAS ST,6021140300,TS-Two Storey,2020,7,"$245,000","$259,500"
931 DUGAS ST,6021134000,OS-One Storey,2020,3,"$235,000","$256,200"
936 DUGAS ST,6021153000,OS-One Storey,2019,9,"$300,000","$327,900"
941 DUGAS ST,6023464100,TS-Two Storey,2019,6,"$304,000","$332,900"
948 DUGAS ST,6021036100,BL-Bi-Level,2020,7,"$249,900","$264,600"
952 DUGAS ST,6021036500,OS-One Storey,2019,8,"$289,900","$317,200"
952 DUGAS ST,6021036500,OS-One Storey,2020,10,"$290,000","$300,700"
966 DUGAS ST,6021040000,OS-One Storey,2020,2,"$195,000","$212,600"
972 DUGAS ST,6021041900,OS-One Storey,2019,7,"$218,000","$238,500"
1034 DUGAS ST,6021094000,OS-One Storey,2019,7,"$207,000","$226,500"
627 ELIZABETH RD,6023801000,TS-Two Storey,2020,10,"$242,500","$251,500"
643 ELIZABETH RD,6023803800,TS-Two Storey,2019,9,"$220,000","$240,500"
681 ELIZABETH RD,6023810000,TS-Two Storey,2019,5,"$199,900","$218,900"
773 ELIZABETH RD,6025132000,TS-Two Storey,2019,10,"$235,000","$256,900"
773 ELIZABETH RD,6025132000,TS-Two Storey,2020,11,"$226,000","$232,600"
775 ELIZABETH RD,6025131500,TS-Two Storey,2019,6,"$210,000","$230,000"
779 ELIZABETH RD,6025130500,OH-One & 1/2 Storey,2021,1,"$218,000","$221,100"
929 ELIZABETH RD,6021157000,OS-One Storey,2020,5,"$280,000","$300,700"
949 ELIZABETH RD,6021058000,TS-Two Storey,2021,2,"$420,000","$422,900"
973 ELIZABETH RD,6021052000,OS-One Storey,2020,10,"$225,000","$233,300"
35 HAMPSHIRE BAY,6025061600,TS-Two Storey,2019,5,"$194,500","$213,000"
41 HAMPSHIRE BAY,6025060500,FL-4 Level Split,2019,3,"$239,000","$261,900"
71 HAMPSHIRE BAY,6025055000,TS-Two Storey,2021,2,"$212,750","$214,200"
22 OAKMONT AVE,6025019500,FL-4 Level Split,2020,12,"$254,000","$259,600"
33 OAKMONT AVE,6025015000,TS-Two Storey,2019,4,"$235,000","$257,600"
34 OAKMONT AVE,6025021500,TS-Two Storey,2019,9,"$232,000","$253,600"
35 OAKMONT AVE,6025015500,TS-Two Storey,2021,3,"$225,000","$225,000"
21 WICKHAM RD,6025106000,TS-Two Storey,2020,10,"$222,250","$230,500"
53 WICKHAM RD,6025111000,TS-Two Storey,2019,10,"$180,000","$196,700"
2 WILTSHIRE BAY,6025090500,TS-Two Storey,2020,3,"$228,000","$248,500"
8 WILTSHIRE BAY,6025091500,TS-Two Storey,2021,3,"$285,000","$285,000"
14 WILTSHIRE BAY,6025092500,TS-Two Storey,2019,7,"$225,000","$246,200"
15 WILTSHIRE BAY,6025071000,FL-4 Level Split,2019,7,"$245,000","$268,000"
79 WILTSHIRE BAY,6025159000,FL-4 Level Split,2019,9,"$210,000","$229,500"
97 WILTSHIRE BAY,6025163000,FL-4 Level Split,2020,6,"$225,000","$240,100"
109 WILTSHIRE BAY,6025167000,TS-Two Storey,2019,7,"$230,000","$251,600"
7 AREISA BAY,8005038600,TS-Two Storey,2020,12,"$470,000","$480,300"
27 AREISA BAY,8021135600,TS-Two Storey,2020,10,"$540,000","$560,000"
60 AVALON RD,8004528000,OS-One Storey,2019,5,"$375,000","$410,600"
80 AVALON RD,8004530500,OS-One Storey,2021,2,"$357,000","$359,500"
168 AVALON RD,8004780700,OS-One Storey,2020,9,"$255,000","$266,200"
206 AVALON RD,8004441400,OS-One Storey,2019,9,"$348,250","$380,600"
233 AVALON RD,8004369000,OS-One Storey,2019,6,"$277,500","$303,900"
233 AVALON RD,8004369000,OS-One Storey,2020,7,"$309,900","$328,200"
247 AVALON RD,8004418000,OS-One Storey,2021,1,"$450,000","$456,300"
307 AVALON RD,8004413500,OH-One & 1/2 Storey,2019,7,"$445,000","$486,800"
342 AVALON RD,8004337900,OS-One Storey,2019,8,"$347,500","$380,200"
15 BAILLEY AVE,8004574700,BL-Bi-Level,2020,3,"$375,000","$408,800"
35 BAILLEY AVE,8004575700,BL-Bi-Level,2019,11,"$327,500","$357,600"
35 BAILLEY AVE,8004575700,BL-Bi-Level,2020,8,"$333,000","$350,300"
55 BETHRAY BAY,8021234000,TS-Two Storey,2020,6,"$556,600","$593,900"
41 BLACKMORE AVE,8004601700,OS-One Storey,2020,9,"$350,000","$365,400"
50 BLACKMORE AVE,8004604000,OS-One Storey,2019,6,"$318,000","$348,200"
18 BLUE SPRUCE CRES,8004777800,OS-One Storey,2019,12,"$363,000","$396,400"
34 BLUE SPRUCE CRES,8004802800,TL-3 Level Split,2020,4,"$315,000","$340,800"
8 BUCKLEY BAY,8004369900,OS-One Storey,2020,8,"$322,500","$339,300"
4 CROMER BAY,8004374400,BL-Bi-Level,2019,8,"$319,900","$350,000"
335 DARWIN ST,8005472900,TL-3 Level Split,2019,10,"$345,000","$377,100"
23 ENGLISH PL,8004853400,OS-One Storey,2020,8,"$370,000","$389,200"
69 FERNLEAF DR,8005399100,OS-One Storey,2020,10,"$342,500","$355,200"
80 FERNLEAF DR,8005393300,TS-Two Storey,2020,7,"$400,000","$423,600"
88 FERNLEAF DR,8005393700,TL-3 Level Split,2019,2,"$275,000","$301,700"
96 FERNLEAF DR,8005394100,BL-Bi-Level,2019,2,"$326,000","$357,600"
104 FERNLEAF DR,8005394500,TS-Two Storey,2019,9,"$334,000","$365,100"
34 GLENTHORNE CRES,8005470700,OS-One Storey,2019,8,"$265,000","$289,900"
34 GLENTHORNE CRES,8005470700,OS-One Storey,2021,1,"$285,000","$289,000"
66 GLENTHORNE CRES,8005461600,BL-Bi-Level,2020,12,"$270,000","$275,900"
70 GLENTHORNE CRES,8005461300,OS-One Storey,2019,6,"$255,000","$279,200"
27 GREENDELL AVE,8005059400,OS-One Storey,2020,2,"$310,000","$337,900"
29 GREENDELL AVE,8005016500,OS-One Storey,2020,6,"$435,000","$464,100"
32 GREENDELL AVE,8005028000,O3-One & 3/4 Storey,2020,7,"$340,000","$360,100"
71 GREENDELL AVE,8005007200,OH-One & 1/2 Storey,2019,11,"$283,000","$309,000"
75 GREENDELL AVE,8005006700,OS-One Storey,2019,5,"$461,000","$504,800"
93 GREENDELL AVE,8005005400,OS-One Storey,2019,12,"$349,900","$382,100"
101 GREENDELL AVE,8005004100,OH-One & 1/2 Storey,2020,12,"$437,000","$446,600"
109 GREENDELL AVE,8004976200,OS-One Storey,2020,3,"$400,000","$436,000"
113 GREENDELL AVE,8004976100,OH-One & 1/2 Storey,2021,2,"$385,000","$387,700"
66 HARRY COLLINS AVE,8005405700,OS-One Storey,2020,6,"$326,500","$348,400"
67 HARRY COLLINS AVE,8005401100,OS-One Storey,2019,1,"$291,000","$319,500"
4 MCMURRAY BAY,8004512400,OS-One Storey,2020,5,"$345,000","$370,500"
10 MCNULTY CRES,8007680500,OS-One Storey,2019,5,"$360,000","$394,200"
15 MCNULTY CRES,8007679000,TS-Two Storey,2019,5,"$460,000","$503,700"
15 MCNULTY CRES,8007679000,TS-Two Storey,2020,12,"$437,000","$446,600"
83 MCNULTY CRES,8007672500,TS-Two Storey,2019,9,"$475,000","$519,200"
7 METZ ST,8004606000,BL-Bi-Level,2019,1,"$285,500","$313,500"
39 METZ ST,8004609800,OS-One Storey,2020,8,"$374,000","$393,400"
75 METZ ST,8004841300,OS-One Storey,2020,3,"$328,000","$357,500"
7 MILLFIELD DR,8004950500,OS-One Storey,2019,8,"$384,900","$421,100"
40 MILLFIELD DR,8004957400,OS-One Storey,2020,8,"$395,000","$415,500"
96 MINNETONKA ST,8004729000,OH-One & 1/2 Storey,2019,9,"$264,500","$289,100"
108 MINNETONKA ST,8004982900,OS-One Storey,2020,7,"$315,000","$333,600"
140 MINNETONKA ST,8005003600,OS-One Storey,2019,8,"$310,000","$339,100"
39 NICOLLET AVE,8005473200,OS-One Storey,2019,7,"$312,000","$341,300"
67 NICOLLET AVE,8005467000,OS-One Storey,2021,3,"$333,000","$333,000"
92 NICOLLET AVE,8005479700,TS-Two Storey,2019,12,"$400,000","$436,800"
6 OAKLEAF DR,8004795900,BL-Bi-Level,2019,9,"$317,777","$347,300"
45 OAKLEAF DR,8004806200,OS-One Storey,2020,6,"$314,900","$336,000"
79 OAKRIDGE BAY,8004656700,OS-One Storey,2020,9,"$265,000","$276,700"
62 RAVINE DR,8008138200,OS-One Storey,2020,2,"$560,000","$610,400"
70 RAVINE DR,8008138600,TS-Two Storey,2020,12,"$690,000","$705,200"
73 RAVINE DR,8008129700,OS-One Storey,2019,6,"$550,000","$602,300"
98 RAVINE DR,8008121800,TS-Two Storey,2020,9,"$657,500","$686,400"
111 RAVINE DR,8008130600,TS-Two Storey,2019,4,"$587,500","$643,900"
138 RAVINE DR,8008123800,TS-Two Storey,2019,3,"$470,000","$515,100"
97 RIEL AVE,8004833100,OS-One Storey,2020,6,"$361,000","$385,200"
105 RIEL AVE,8004791000,OS-One Storey,2019,9,"$300,000","$327,900"
