Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
342 KENSINGTON ST,7000782000,OS-One Storey,2019,5,"$266,000","$295,000"
354 KENSINGTON ST,7000779000,OS-One Storey,2020,9,"$172,500","$181,100"
359 KENSINGTON ST,7000893000,OS-One Storey,2019,7,"$215,001","$238,200"
383 KENSINGTON ST,7000903000,OS-One Storey,2019,6,"$161,000","$178,500"
403 KENSINGTON ST,7569078200,BL-Bi-Level,2021,2,"$331,650","$334,300"
316 MADISON ST,7001006000,OH-One & 1/2 Storey,2020,8,"$203,500","$215,300"
325 MADISON ST,7001056000,OH-One & 1/2 Storey,2020,9,"$251,239","$263,800"
369 MADISON ST,7001043000,OS-One Storey,2019,12,"$145,000","$160,100"
379 MADISON ST,7001040000,OH-One & 1/2 Storey,2019,10,"$160,000","$177,000"
383 MADISON ST,7001039000,OS-One Storey,2020,12,"$155,129","$159,000"
386 MADISON ST,7001095000,OH-One & 1/2 Storey,2019,5,"$167,000","$185,200"
388 MADISON ST,7001096000,OH-One & 1/2 Storey,2020,2,"$138,000","$152,200"
394 MADISON ST,7001099000,OS-One Storey,2019,4,"$173,000","$192,000"
245 AMHERST ST,7040554000,OS-One Storey,2019,1,"$165,000","$183,600"
259 AMHERST ST,7040558000,OS-One Storey,2019,2,"$200,000","$222,400"
283 AMHERST ST,7040640000,OS-One Storey,2020,10,"$250,000","$260,300"
294 AMHERST ST,7040627000,OS-One Storey,2021,3,"$335,000","$335,000"
302 AMHERST ST,7040629000,OS-One Storey,2019,10,"$274,900","$304,000"
326 AMHERST ST,7040635000,OS-One Storey,2020,1,"$286,500","$316,000"
339 AMHERST ST,7040654000,OS-One Storey,2019,9,"$232,500","$257,100"
345 AMHERST ST,7569137190,TS-Two Storey,2020,2,"$329,457","$363,400"
347 AMHERST ST,7569137185,TS-Two Storey,2020,5,"$333,500","$361,500"
353 AMHERST ST,7040769000,OS-One Storey,2020,6,"$156,000","$167,700"
362 AMHERST ST,7040746000,OH-One & 1/2 Storey,2019,8,"$225,000","$249,100"
374 AMHERST ST,7040749000,OH-One & 1/2 Storey,2020,12,"$222,000","$227,600"
382 AMHERST ST,7040751000,OS-One Storey,2020,6,"$227,500","$244,600"
389 AMHERST ST,7040778000,OS-One Storey,2020,9,"$229,900","$241,400"
393 AMHERST ST,7040780000,OS-One Storey,2020,4,"$280,000","$306,000"
397 AMHERST ST,7040782000,OS-One Storey,2020,11,"$239,900","$247,800"
404 AMHERST ST,7040757000,OS-One Storey,2020,9,"$230,000","$241,500"
414 AMHERST ST,7040762000,OS-One Storey,2019,6,"$250,000","$277,300"
226 BERRY ST,7021810000,OS-One Storey,2020,12,"$242,000","$248,100"
250 BERRY ST,7021803000,TS-Two Storey,2020,7,"$228,000","$243,300"
268 BERRY ST,7021985000,OH-One & 1/2 Storey,2020,8,"$215,000","$227,500"
275 BERRY ST,7021996000,OS-One Storey,2019,9,"$145,000","$160,400"
319 BERRY ST,7022016000,O3-One & 3/4 Storey,2020,12,"$255,100","$261,500"
324 BERRY ST,7021957000,OS-One Storey,2019,10,"$190,000","$210,100"
328 BERRY ST,7021955000,OS-One Storey,2019,7,"$255,000","$282,500"
341 BERRY ST,7569137535,TS-Two Storey,2020,3,"$364,165","$401,300"
343 BERRY ST,7569137540,TS-Two Storey,2020,3,"$364,797","$402,000"
349 BERRY ST,7022031000,OS-One Storey,2020,9,"$117,500","$123,400"
365 BERRY ST,7569026500,OH-One & 1/2 Storey,2019,1,"$160,000","$178,100"
367 BERRY ST,7022039000,OH-One & 1/2 Storey,2021,3,"$249,000","$249,000"
374 BERRY ST,7021844000,OS-One Storey,2021,1,"$210,000","$213,400"
222 BROOKLYN ST,7569135780,OH-One & 1/2 Storey,2019,3,"$190,000","$211,100"
227 BROOKLYN ST,7569134895,BL-Bi-Level,2021,2,"$336,000","$338,700"
229 BROOKLYN ST,7569134900,OS-One Storey,2020,8,"$149,000","$157,600"
245 BROOKLYN ST,7000035000,TS-Two Storey,2020,2,"$310,078","$342,000"
262 BROOKLYN ST,7000086000,O3-One & 3/4 Storey,2019,2,"$150,000","$166,800"
271 BROOKLYN ST,7569057100,O3-One & 3/4 Storey,2019,6,"$117,500","$130,300"
290 BROOKLYN ST,7000094000,OS-One Storey,2019,5,"$105,000","$116,400"
308 BROOKLYN ST,7000098000,OS-One Storey,2019,9,"$265,000","$293,100"
365 BROOKLYN ST,7000118000,OS-One Storey,2019,4,"$182,000","$202,000"
384 BROOKLYN ST,7000155000,OS-One Storey,2020,11,"$227,000","$234,500"
401 BROOKLYN ST,7000129100,TL-3 Level Split,2019,7,"$230,000","$254,800"
408 BROOKLYN ST,7000162000,OS-One Storey,2020,7,"$170,000","$181,400"
420 BROOKLYN ST,7000166000,OS-One Storey,2019,6,"$118,000","$130,900"
423 BROOKLYN ST,7000135100,OH-One & 1/2 Storey,2020,7,"$153,000","$163,300"
427 BROOKLYN ST,7000137000,OH-One & 1/2 Storey,2020,4,"$276,100","$301,800"
443 BROOKLYN ST,7000173600,BL-Bi-Level,2019,9,"$242,000","$267,700"
459 BROOKLYN ST,7000178000,OH-One & 1/2 Storey,2020,7,"$134,000","$143,000"
469 BROOKLYN ST,7000180000,OS-One Storey,2019,8,"$154,000","$170,500"
207 COLLEGIATE ST,7569137430,TS-Two Storey,2020,1,"$340,000","$375,000"
209 COLLEGIATE ST,7569137435,O3-One & 3/4 Storey,2019,5,"$229,900","$255,000"
223 COLLEGIATE ST,7020334000,OS-One Storey,2019,5,"$115,000","$127,500"
230 COLLEGIATE ST,7020310000,O3-One & 3/4 Storey,2020,7,"$299,900","$320,000"
247 COLLEGIATE ST,7569078700,BL-Bi-Level,2020,7,"$310,000","$330,800"
259 COLLEGIATE ST,7020347000,OS-One Storey,2020,9,"$193,000","$202,700"
280 COLLEGIATE ST,7020295000,OH-One & 1/2 Storey,2019,6,"$182,500","$202,400"
283 COLLEGIATE ST,7020357000,OS-One Storey,2019,1,"$266,500","$296,600"
287 COLLEGIATE ST,7020359000,OS-One Storey,2020,7,"$145,000","$154,700"
288 COLLEGIATE ST,7020291000,OS-One Storey,2020,11,"$235,000","$242,800"
302 COLLEGIATE ST,7020525000,OS-One Storey,2021,3,"$275,000","$275,000"
304 COLLEGIATE ST,7020526000,OS-One Storey,2020,6,"$180,000","$193,500"
306 COLLEGIATE ST,7020527000,OS-One Storey,2019,12,"$105,000","$115,900"
317 COLLEGIATE ST,7020546000,OS-One Storey,2019,8,"$225,317","$249,400"
359 COLLEGIATE ST,7569137640,BL-Bi-Level,2020,7,"$300,388","$320,500"
361 COLLEGIATE ST,7569137645,BL-Bi-Level,2020,8,"$293,120","$310,100"
365 COLLEGIATE ST,7020700000,OS-One Storey,2019,3,"$156,000","$173,300"
377 COLLEGIATE ST,7020704000,FL-4 Level Split,2019,10,"$296,000","$327,400"
383 COLLEGIATE ST,7020707000,OS-One Storey,2019,6,"$154,000","$170,800"
384 COLLEGIATE ST,7569134950,BL-Bi-Level,2020,11,"$334,900","$346,000"
387 COLLEGIATE ST,7020708000,OS-One Storey,2019,7,"$197,000","$218,300"
390 COLLEGIATE ST,7569136720,TS-Two Storey,2019,1,"$380,000","$422,900"
404 COLLEGIATE ST,7569135180,OS-One Storey,2019,5,"$190,000","$210,700"
405 COLLEGIATE ST,7020713000,OS-One Storey,2020,7,"$231,500","$247,000"
411 COLLEGIATE ST,7020715000,OS-One Storey,2020,10,"$195,000","$203,000"
411 COLLEGIATE ST,7020715000,OS-One Storey,2020,12,"$245,000","$251,100"
421 COLLEGIATE ST,7569137365,BL-Bi-Level,2019,5,"$332,975","$369,300"
423 COLLEGIATE ST,7569137370,BL-Bi-Level,2020,4,"$330,669","$361,400"
464 COLLEGIATE ST,7569135070,BL-Bi-Level,2020,8,"$276,000","$292,000"
482 COLLEGIATE ST,7020901000,OS-One Storey,2019,11,"$220,000","$243,100"
508 COLLEGIATE ST,7020908000,BL-Bi-Level,2020,12,"$292,000","$299,300"
517 COLLEGIATE ST,7020934000,OS-One Storey,2019,8,"$290,698","$321,800"
222 FERRY RD,7041149000,OS-One Storey,2019,8,"$209,900","$232,400"
223 FERRY RD,7020264000,OS-One Storey,2020,3,"$118,000","$130,000"
242 FERRY RD,7041140000,BL-Bi-Level,2021,2,"$263,812","$265,900"
250 FERRY RD,7041136000,OS-One Storey,2019,1,"$128,000","$142,500"
262 FERRY RD,7041280000,OH-One & 1/2 Storey,2019,2,"$130,000","$144,600"
279 FERRY RD,7020283000,TS-Two Storey,2019,4,"$329,900","$366,200"
281 FERRY RD,7020284000,OS-One Storey,2020,9,"$190,000","$199,500"
283 FERRY RD,7020285000,OS-One Storey,2019,4,"$213,000","$236,400"
290 FERRY RD,7041292000,OS-One Storey,2019,8,"$200,000","$221,400"
291 FERRY RD,7020288000,OS-One Storey,2019,9,"$165,000","$182,500"
292 FERRY RD,7041293000,OS-One Storey,2020,7,"$142,000","$151,500"
296 FERRY RD,7041295000,OH-One & 1/2 Storey,2020,9,"$199,900","$209,900"
301 FERRY RD,7020507000,BL-Bi-Level,2020,8,"$392,857","$415,600"
327 FERRY RD,7020516000,OS-One Storey,2021,1,"$234,000","$237,700"
356 FERRY RD,7041455000,BL-Bi-Level,2020,2,"$278,585","$307,300"
358 FERRY RD,7569137545,BL-Bi-Level,2019,7,"$268,411","$297,400"
360 FERRY RD,7569137550,BL-Bi-Level,2020,4,"$269,767","$294,900"
361 FERRY RD,7569135050,BL-Bi-Level,2019,12,"$278,000","$306,900"
365 FERRY RD,7020636200,BL-Bi-Level,2020,12,"$272,000","$278,800"
369 FERRY RD,7020637000,OH-One & 1/2 Storey,2019,9,"$200,000","$221,200"
377 FERRY RD,7569029700,BL-Bi-Level,2020,5,"$276,000","$299,200"
387 FERRY RD,7569036500,BL-Bi-Level,2019,3,"$262,500","$291,600"
392 FERRY RD,7041466000,OH-One & 1/2 Storey,2020,12,"$138,000","$141,500"
422 FERRY RD,7569136240,BL-Bi-Level,2020,11,"$356,500","$368,300"
428 FERRY RD,7041477000,OS-One Storey,2021,1,"$267,000","$271,300"
429 FERRY RD,7020655000,OS-One Storey,2019,11,"$201,314","$222,500"
465 FERRY RD,7020869200,BL-Bi-Level,2020,11,"$249,900","$258,100"
470 FERRY RD,7569079000,OS-One Storey,2019,1,"$158,000","$175,900"
478 FERRY RD,7569137675,BL-Bi-Level,2020,12,"$299,900","$307,400"
480 FERRY RD,7569137680,BL-Bi-Level,2020,11,"$297,000","$306,800"
481 FERRY RD,7020873600,BL-Bi-Level,2019,10,"$270,000","$298,600"
487 FERRY RD,7020877000,OH-One & 1/2 Storey,2020,9,"$175,000","$183,800"
502 FERRY RD,7569135845,BL-Bi-Level,2019,7,"$345,000","$382,300"
506 FERRY RD,7569135205,BL-Bi-Level,2020,5,"$282,000","$305,700"
507 FERRY RD,7020882000,OH-One & 1/2 Storey,2019,3,"$285,000","$316,600"
519 FERRY RD,7020885000,OS-One Storey,2020,9,"$175,000","$183,800"
526 FERRY RD,7569136370,BL-Bi-Level,2020,4,"$340,000","$371,600"
216 HAMPTON ST,7021411000,O3-One & 3/4 Storey,2019,7,"$254,000","$281,400"
233 HAMPTON ST,7021790000,O3-One & 3/4 Storey,2020,12,"$207,000","$212,200"
241 HAMPTON ST,7569136735,BL-Bi-Level,2020,9,"$305,000","$320,300"
286 HAMPTON ST,7021502000,OS-One Storey,2020,9,"$210,000","$220,500"
290 HAMPTON ST,7021504000,O3-One & 3/4 Storey,2019,1,"$192,500","$214,300"
305 HAMPTON ST,7021930500,TH-Two & 1/2 Storey,2020,12,"$262,000","$268,600"
315 HAMPTON ST,7021934000,OH-One & 1/2 Storey,2020,6,"$254,900","$274,000"
320 HAMPTON ST,7021516000,OH-One & 1/2 Storey,2020,11,"$226,800","$234,300"
332 HAMPTON ST,7021543000,OS-One Storey,2020,10,"$247,000","$257,100"
346 HAMPTON ST,7021548500,BL-Bi-Level,2019,7,"$215,000","$238,200"
374 HAMPTON ST,7021582000,OH-One & 1/2 Storey,2020,9,"$181,000","$190,100"
386 HAMPTON ST,7021586500,BL-Bi-Level,2019,10,"$250,000","$276,500"
402 HAMPTON ST,7021591000,O3-One & 3/4 Storey,2020,8,"$214,000","$226,400"
414 HAMPTON ST,7021631000,OS-One Storey,2021,1,"$280,000","$284,500"
450 HAMPTON ST,7569061600,OS-One Storey,2019,5,"$310,000","$343,800"
492 HAMPTON ST,7021675000,OS-One Storey,2019,4,"$255,000","$283,100"
210 INGLEWOOD ST,7041103000,OH-One & 1/2 Storey,2020,12,"$190,000","$194,800"
212 INGLEWOOD ST,7041102000,O3-One & 3/4 Storey,2019,11,"$190,000","$210,000"
222 INGLEWOOD ST,7041098000,OS-One Storey,2020,2,"$203,000","$223,900"
228 INGLEWOOD ST,7041096000,OH-One & 1/2 Storey,2019,8,"$217,000","$240,200"
244 INGLEWOOD ST,7041091000,OS-One Storey,2019,8,"$160,000","$177,100"
246 INGLEWOOD ST,7041090000,OS-One Storey,2020,8,"$220,200","$233,000"
271 INGLEWOOD ST,7041249000,OS-One Storey,2020,5,"$172,000","$186,400"
275 INGLEWOOD ST,7041251000,OH-One & 1/2 Storey,2019,5,"$100,100","$111,000"
278 INGLEWOOD ST,7041224000,OS-One Storey,2019,9,"$95,000","$105,100"
287 INGLEWOOD ST,7569111100,BL-Bi-Level,2020,5,"$315,000","$341,500"
288 INGLEWOOD ST,7041228000,BL-Bi-Level,2020,10,"$261,000","$271,700"
289 INGLEWOOD ST,7041257100,BL-Bi-Level,2020,8,"$252,500","$267,100"
312 INGLEWOOD ST,7041235000,OH-One & 1/2 Storey,2020,8,"$229,900","$243,200"
325 INGLEWOOD ST,7041271000,BL-Bi-Level,2020,8,"$267,000","$282,500"
336 INGLEWOOD ST,7569137705,BL-Bi-Level,2020,5,"$281,008","$304,600"
338 INGLEWOOD ST,7569137710,BL-Bi-Level,2020,9,"$324,516","$340,700"
360 INGLEWOOD ST,7041385000,OS-One Storey,2019,6,"$99,000","$109,800"
361 INGLEWOOD ST,7569136395,BL-Bi-Level,2019,4,"$276,000","$306,400"
362 INGLEWOOD ST,7041386000,OS-One Storey,2020,9,"$230,000","$241,500"
364 INGLEWOOD ST,7041387000,TS-Two Storey,2020,1,"$224,000","$247,100"
369 INGLEWOOD ST,7041426000,OS-One Storey,2020,9,"$194,500","$204,200"
370 INGLEWOOD ST,7041389000,OH-One & 1/2 Storey,2020,5,"$285,900","$309,900"
374 INGLEWOOD ST,7041390000,OS-One Storey,2019,11,"$270,000","$298,400"
378 INGLEWOOD ST,7041392000,OH-One & 1/2 Storey,2020,4,"$193,000","$210,900"
381 INGLEWOOD ST,7041431100,OS-One Storey,2020,11,"$180,000","$185,900"
383 INGLEWOOD ST,7041431500,OS-One Storey,2020,11,"$175,000","$180,800"
385 INGLEWOOD ST,7041432000,TS-Two Storey,2021,3,"$299,900","$299,900"
439 INGLEWOOD ST,7041449000,OS-One Storey,2019,3,"$236,300","$262,500"
442 INGLEWOOD ST,7041413000,OS-One Storey,2020,10,"$230,000","$239,400"
218 KING EDWARD ST,7000217300,OS-One Storey,2019,4,"$197,500","$219,200"
220 KING EDWARD ST,7000241000,TS-Two Storey,2019,1,"$354,000","$394,000"
226 KING EDWARD ST,7000243000,OS-One Storey,2020,1,"$148,936","$164,300"
227 KING EDWARD ST,7000274000,O3-One & 3/4 Storey,2019,2,"$159,900","$177,800"
238 KING EDWARD ST,7000249000,OH-One & 1/2 Storey,2020,11,"$237,500","$245,300"
241 KING EDWARD ST,7000280000,OS-One Storey,2020,10,"$216,000","$224,900"
247 KING EDWARD ST,7000282000,OS-One Storey,2019,7,"$152,000","$168,400"
252 KING EDWARD ST,7000256000,OH-One & 1/2 Storey,2020,6,"$215,000","$231,100"
277 KING EDWARD ST,7000293000,OH-One & 1/2 Storey,2020,2,"$195,000","$215,100"
289 KING EDWARD ST,7000432000,OS-One Storey,2021,3,"$282,000","$282,000"
331 KING EDWARD ST,7000428000,OS-One Storey,2019,8,"$205,150","$227,100"
346 KING EDWARD ST,7000298000,OS-One Storey,2019,7,"$160,000","$177,300"
357 KING EDWARD ST,7000416000,OS-One Storey,2020,10,"$135,000","$140,500"
359 KING EDWARD ST,7000417000,OH-One & 1/2 Storey,2021,1,"$235,000","$238,800"
368 KING EDWARD ST,7000305000,OS-One Storey,2019,5,"$185,500","$205,700"
374 KING EDWARD ST,7000308000,OS-One Storey,2019,4,"$155,000","$172,100"
376 KING EDWARD ST,7000309000,OS-One Storey,2020,12,"$167,000","$171,200"
411 KING EDWARD ST,7000396000,OH-One & 1/2 Storey,2020,9,"$209,900","$220,400"
442 KING EDWARD ST,7000334000,OS-One Storey,2020,7,"$240,000","$256,100"
444 KING EDWARD ST,7000335000,OS-One Storey,2020,10,"$112,000","$116,600"
446 KING EDWARD ST,7000336000,BL-Bi-Level,2021,1,"$319,767","$324,900"
457 KING EDWARD ST,7000366000,TL-3 Level Split,2020,11,"$254,900","$263,300"
481 KING EDWARD ST,7000374000,OS-One Storey,2020,12,"$200,000","$205,000"
211 MARJORIE ST,7021402000,OS-One Storey,2020,8,"$280,000","$296,200"
223 MARJORIE ST,7021397000,OS-One Storey,2019,6,"$120,000","$133,100"
229 MARJORIE ST,7021394000,OS-One Storey,2020,5,"$148,000","$160,400"
237 MARJORIE ST,7021390000,OS-One Storey,2019,10,"$182,000","$201,300"
281 MARJORIE ST,7021483000,OS-One Storey,2020,9,"$200,000","$210,000"
321 MARJORIE ST,7021494000,OS-One Storey,2019,9,"$214,900","$237,700"
376 MARJORIE ST,7021529000,OS-One Storey,2020,12,"$255,000","$261,400"
380 MARJORIE ST,7021554000,OS-One Storey,2020,5,"$307,000","$332,800"
404 MARJORIE ST,7021561500,BL-Bi-Level,2019,5,"$305,000","$338,200"
407 MARJORIE ST,7021576000,TS-Two Storey,2019,10,"$252,500","$279,300"
452 MARJORIE ST,7021602000,OS-One Storey,2021,2,"$305,000","$307,400"
465 MARJORIE ST,7021641000,OS-One Storey,2020,10,"$270,000","$281,100"
474 MARJORIE ST,7021611000,OS-One Storey,2020,8,"$313,000","$331,200"
477 MARJORIE ST,7021645000,OS-One Storey,2020,7,"$255,000","$272,100"
486 MARJORIE ST,7021615000,OS-One Storey,2019,7,"$252,000","$279,200"
219 PARKVIEW ST,7020476000,O3-One & 3/4 Storey,2020,2,"$172,000","$189,700"
235 PARKVIEW ST,7020482000,O3-One & 3/4 Storey,2020,8,"$260,000","$275,100"
237 PARKVIEW ST,7020483000,O3-One & 3/4 Storey,2019,7,"$248,000","$274,800"
238 PARKVIEW ST,7020457000,OS-One Storey,2019,6,"$182,000","$201,800"
239 PARKVIEW ST,7020484000,OH-One & 1/2 Storey,2019,4,"$144,500","$160,400"
245 PARKVIEW ST,7020487000,OH-One & 1/2 Storey,2019,2,"$185,000","$205,700"
256 PARKVIEW ST,7020448000,OH-One & 1/2 Storey,2019,10,"$203,000","$224,500"
266 PARKVIEW ST,7020443000,OS-One Storey,2019,5,"$188,800","$209,400"
284 PARKVIEW ST,7020435000,OH-One & 1/2 Storey,2020,4,"$285,000","$311,500"
286 PARKVIEW ST,7020434000,OH-One & 1/2 Storey,2020,7,"$182,500","$194,700"
317 PARKVIEW ST,7020621000,OH-One & 1/2 Storey,2019,4,"$212,500","$235,900"
318 PARKVIEW ST,7020604000,TS-Two Storey,2019,8,"$290,000","$321,000"
358 PARKVIEW ST,7020802000,O3-One & 3/4 Storey,2019,5,"$206,000","$228,500"
358 PARKVIEW ST,7020802000,O3-One & 3/4 Storey,2020,10,"$212,000","$220,700"
367 PARKVIEW ST,7020841000,OS-One Storey,2020,11,"$286,000","$295,400"
369 PARKVIEW ST,7569135475,BL-Bi-Level,2021,3,"$374,000","$374,000"
376 PARKVIEW ST,7020808000,OS-One Storey,2020,5,"$232,000","$251,500"
433 PARKVIEW ST,7020860000,OS-One Storey,2020,12,"$200,000","$205,000"
444 PARKVIEW ST,7020829000,OS-One Storey,2019,7,"$233,500","$258,700"
445 PARKVIEW ST,7020864000,OS-One Storey,2020,10,"$200,445","$208,700"
446 PARKVIEW ST,7020987000,O3-One & 3/4 Storey,2019,12,"$240,000","$265,000"
486 PARKVIEW ST,7020996000,OS-One Storey,2019,8,"$253,900","$281,100"
501 PARKVIEW ST,7021025000,OS-One Storey,2020,1,"$243,000","$268,000"
507 PARKVIEW ST,7021027000,OS-One Storey,2020,8,"$275,000","$291,000"
514 PARKVIEW ST,7021004000,OS-One Storey,2020,4,"$246,000","$268,900"
210 QUEEN ST,7000449000,OH-One & 1/2 Storey,2019,3,"$112,500","$125,000"
226 QUEEN ST,7000455000,OH-One & 1/2 Storey,2020,11,"$316,000","$326,400"
250 QUEEN ST,7000467000,OH-One & 1/2 Storey,2020,9,"$150,250","$157,800"
278 QUEEN ST,7000476000,BL-Bi-Level,2020,7,"$321,000","$342,500"
302 QUEEN ST,7000487000,O3-One & 3/4 Storey,2020,7,"$170,000","$181,400"
337 QUEEN ST,7569137715,BL-Bi-Level,2020,7,"$351,500","$375,100"
339 QUEEN ST,7569137720,BL-Bi-Level,2020,7,"$315,000","$336,100"
377 QUEEN ST,7569137205,BL-Bi-Level,2020,11,"$307,000","$317,100"
378 QUEEN ST,7000516000,OS-One Storey,2021,3,"$158,000","$158,000"
381 QUEEN ST,7000629200,TS-Two Storey,2020,11,"$328,000","$338,800"
387 QUEEN ST,7000631000,OH-One & 1/2 Storey,2020,3,"$144,000","$158,700"
390 QUEEN ST,7000521000,TL-3 Level Split,2020,8,"$250,000","$264,500"
396 QUEEN ST,7000523000,OS-One Storey,2020,6,"$259,900","$279,400"
403 QUEEN ST,7569134155,BL-Bi-Level,2021,2,"$295,000","$297,400"
417 QUEEN ST,7000641000,OS-One Storey,2020,4,"$218,000","$238,300"
432 QUEEN ST,7000536000,OS-One Storey,2020,7,"$254,000","$271,000"
484 QUEEN ST,7000552000,OS-One Storey,2019,3,"$349,806","$388,600"
231 ROSEBERRY ST,7020408000,OH-One & 1/2 Storey,2020,11,"$220,000","$227,300"
233 ROSEBERRY ST,7020409000,OS-One Storey,2020,9,"$150,000","$157,500"
238 ROSEBERRY ST,7569138055,O3-One & 3/4 Storey,2020,11,"$235,000","$242,800"
243 ROSEBERRY ST,7569110800,BL-Bi-Level,2019,3,"$300,000","$333,300"
252 ROSEBERRY ST,7569136930,TS-Two Storey,2020,10,"$326,500","$339,900"
273 ROSEBERRY ST,7020426000,OS-One Storey,2019,3,"$215,000","$238,900"
282 ROSEBERRY ST,7569137780,BL-Bi-Level,2020,6,"$345,905","$371,800"
284 ROSEBERRY ST,7569137775,BL-Bi-Level,2020,6,"$345,905","$371,800"
285 ROSEBERRY ST,7020431000,OS-One Storey,2019,8,"$169,000","$187,100"
319 ROSEBERRY ST,7020583000,OS-One Storey,2020,9,"$275,000","$288,800"
321 ROSEBERRY ST,7020584000,BL-Bi-Level,2020,10,"$265,000","$275,900"
362 ROSEBERRY ST,7020736000,OS-One Storey,2020,12,"$150,000","$153,800"
374 ROSEBERRY ST,7569137200,BL-Bi-Level,2019,1,"$265,714","$295,700"
380 ROSEBERRY ST,7020741000,BL-Bi-Level,2020,11,"$330,000","$340,900"
390 ROSEBERRY ST,7569137375,BL-Bi-Level,2019,12,"$327,519","$361,600"
392 ROSEBERRY ST,7569137380,TS-Two Storey,2020,4,"$312,016","$341,000"
397 ROSEBERRY ST,7020781000,OH-One & 1/2 Storey,2019,6,"$254,000","$281,700"
398 ROSEBERRY ST,7020748000,OH-One & 1/2 Storey,2020,1,"$180,000","$198,500"
402 ROSEBERRY ST,7020749000,OH-One & 1/2 Storey,2020,8,"$268,402","$284,000"
405 ROSEBERRY ST,7020783000,BL-Bi-Level,2021,3,"$358,356","$358,400"
407 ROSEBERRY ST,7020784000,OH-One & 1/2 Storey,2019,7,"$152,000","$168,400"
420 ROSEBERRY ST,7020753500,BL-Bi-Level,2020,12,"$275,000","$281,900"
440 ROSEBERRY ST,7020759500,OS-One Storey,2020,8,"$320,000","$338,600"
443 ROSEBERRY ST,7020793100,BL-Bi-Level,2020,4,"$271,000","$296,200"
445 ROSEBERRY ST,7020793400,OS-One Storey,2020,10,"$326,445","$339,800"
449 ROSEBERRY ST,7020963000,OH-One & 1/2 Storey,2020,2,"$179,000","$197,400"
464 ROSEBERRY ST,7020944000,OS-One Storey,2020,5,"$245,000","$265,600"
493 ROSEBERRY ST,7020975000,OS-One Storey,2019,6,"$315,000","$349,300"
210 RUTLAND ST,7041037000,OS-One Storey,2020,8,"$194,900","$206,200"
222 RUTLAND ST,7041042000,OS-One Storey,2019,1,"$192,000","$213,700"
242 RUTLAND ST,7041051000,OH-One & 1/2 Storey,2020,4,"$222,000","$242,600"
253 RUTLAND ST,7041084000,OS-One Storey,2020,6,"$245,000","$263,400"
268 RUTLAND ST,7041160000,OS-One Storey,2019,8,"$208,000","$230,300"
269 RUTLAND ST,7041194000,OH-One & 1/2 Storey,2020,9,"$182,000","$191,100"
274 RUTLAND ST,7041163000,OS-One Storey,2019,11,"$150,000","$165,800"
282 RUTLAND ST,7041167000,OH-One & 1/2 Storey,2019,8,"$159,900","$177,000"
287 RUTLAND ST,7041200000,TS-Two Storey,2020,5,"$308,000","$333,900"
288 RUTLAND ST,7041170000,OH-One & 1/2 Storey,2019,1,"$160,000","$178,100"
300 RUTLAND ST,7041175000,OH-One & 1/2 Storey,2020,9,"$263,900","$277,100"
303 RUTLAND ST,7569137050,TS-Two Storey,2019,3,"$323,000","$358,900"
309 RUTLAND ST,7041208100,OH-One & 1/2 Storey,2019,7,"$250,000","$277,000"
311 RUTLAND ST,7041208500,BL-Bi-Level,2019,8,"$267,000","$295,600"
314 RUTLAND ST,7041179000,OS-One Storey,2020,10,"$198,000","$206,100"
