Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
313 KENSINGTON ST,7000877000,OH-ONE & 1/2 STOREY,2017,11,"$110,000","$110,700"
347 KENSINGTON ST,7000889000,BL-BI-LEVEL,2017,10,"$235,000","$236,900"
354 KENSINGTON ST,7000779000,OS-ONE STOREY,2016,5,"$160,000","$165,300"
365 KENSINGTON ST,7000896000,OH-ONE & 1/2 STOREY,2017,1,"$164,000","$167,400"
370 KENSINGTON ST,7000772000,OS-ONE STOREY,2016,6,"$158,500","$163,600"
370 KENSINGTON ST,7000772000,OS-ONE STOREY,2017,6,"$247,000","$250,500"
375 KENSINGTON ST,7000900000,OS-ONE STOREY,2016,3,"$135,500","$140,400"
395 KENSINGTON ST,7569048900,BL-BI-LEVEL,2016,9,"$265,000","$272,200"
401 KENSINGTON ST,7569078300,OS-ONE STOREY,2017,5,"$240,000","$243,600"
412 KENSINGTON ST,7000761000,OS-ONE STOREY,2018,1,"$180,000","$180,500"
314 MADISON ST,7001005000,OH-ONE & 1/2 STOREY,2016,3,"$159,900","$165,700"
325 MADISON ST,7001056000,OH-ONE & 1/2 STOREY,2018,3,"$178,000","$178,000"
328 MADISON ST,7001009000,OH-ONE & 1/2 STOREY,2016,9,"$196,000","$201,300"
332 MADISON ST,7001010000,OH-ONE & 1/2 STOREY,2016,10,"$172,500","$177,000"
340 MADISON ST,7001013000,OS-ONE STOREY,2017,2,"$104,000","$106,100"
349 MADISON ST,7001050000,OS-ONE STOREY,2017,5,"$120,000","$121,800"
350 MADISON ST,7001016000,OS-ONE STOREY,2017,7,"$115,000","$116,400"
380 MADISON ST,7001092000,OH-ONE & 1/2 STOREY,2017,5,"$199,900","$202,900"
394 MADISON ST,7001099000,OS-ONE STOREY,2016,11,"$155,000","$158,700"
205 AMHERST ST,7040541000,OS-ONE STOREY,2016,6,"$175,000","$180,600"
218 AMHERST ST,7040524000,OS-ONE STOREY,2017,6,"$245,100","$248,500"
237 AMHERST ST,7040551000,OS-ONE STOREY,2016,4,"$190,000","$196,700"
260 AMHERST ST,7569135185,BL-BI-LEVEL,2016,10,"$288,225","$295,700"
267 AMHERST ST,7040636000,OS-ONE STOREY,2017,10,"$260,000","$262,100"
282 AMHERST ST,7040624000,OS-ONE STOREY,2017,11,"$265,000","$266,600"
298 AMHERST ST,7040628000,OS-ONE STOREY,2016,10,"$236,000","$242,100"
307 AMHERST ST,7040646000,OS-ONE STOREY,2016,9,"$205,000","$210,500"
310 AMHERST ST,7040631000,OS-ONE STOREY,2017,8,"$225,000","$227,500"
347 AMHERST ST,7040766000,OS-ONE STOREY,2017,6,"$179,202","$181,700"
366 AMHERST ST,7040747000,OH-ONE & 1/2 STOREY,2017,8,"$255,000","$257,800"
406 AMHERST ST,7040758000,OS-ONE STOREY,2016,8,"$215,000","$221,200"
417 AMHERST ST,7040792000,OS-ONE STOREY,2016,4,"$235,000","$243,200"
246 BERRY ST,7021804000,OH-ONE & 1/2 STOREY,2016,9,"$186,000","$191,000"
253 BERRY ST,7021836100,OS-ONE STOREY,2017,6,"$165,000","$167,300"
259 BERRY ST,7021990000,OS-ONE STOREY,2016,7,"$290,000","$298,700"
260 BERRY ST,7021989000,TH-TWO & 1/2 STOREY,2017,4,"$240,000","$244,100"
273 BERRY ST,7021995000,OS-ONE STOREY,2017,5,"$195,500","$198,400"
278 BERRY ST,7021980000,OH-ONE & 1/2 STOREY,2017,7,"$254,900","$258,000"
281 BERRY ST,7021998000,OS-ONE STOREY,2017,6,"$275,000","$278,900"
303 BERRY ST,7022007000,OS-ONE STOREY,2016,6,"$260,000","$268,300"
341 BERRY ST,7022028000,O3-ONE & 3/4 STOREY,2018,1,"$220,000","$220,700"
357 BERRY ST,7022035000,BL-BI-LEVEL,2017,11,"$255,000","$256,500"
361 BERRY ST,7022036000,OS-ONE STOREY,2017,7,"$247,000","$250,000"
373 BERRY ST,7022041000,BL-BI-LEVEL,2016,3,"$346,900","$359,400"
374 BERRY ST,7021844000,OS-ONE STOREY,2017,12,"$190,000","$191,000"
204 BROOKLYN ST,7569069600,OS-ONE STOREY,2017,8,"$320,000","$323,500"
209 BROOKLYN ST,7569135465,TS-TWO STOREY,2016,10,"$295,000","$302,700"
222 BROOKLYN ST,7569135780,OH-ONE & 1/2 STOREY,2016,12,"$190,000","$194,400"
223 BROOKLYN ST,7000025000,OS-ONE STOREY,2016,10,"$125,000","$128,300"
225 BROOKLYN ST,7000026000,OS-ONE STOREY,2016,5,"$148,000","$152,900"
231 BROOKLYN ST,7000029000,OS-ONE STOREY,2017,7,"$145,000","$146,700"
