Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
218 ALCREST DR,1001689700,OS-ONE STOREY,2017,3,"$280,000","$286,200"
238 ALCREST DR,1001689200,BL-BI-LEVEL,2017,7,"$340,850","$346,000"
245 ALCREST DR,1001676000,OS-ONE STOREY,2016,11,"$320,000","$329,300"
3626 BATCHELOR AVE,1001447000,OS-ONE STOREY,2017,11,"$435,000","$438,000"
3716 BATCHELOR AVE,1001682200,BL-BI-LEVEL,2017,7,"$500,000","$507,500"
3806 BATCHELOR AVE,1001684000,OS-ONE STOREY,2018,1,"$310,000","$311,200"
15 BLOOMER CRES,1001250400,OS-ONE STOREY,2017,7,"$569,900","$578,400"
38 BLOOMER CRES,1001256200,OS-ONE STOREY,2016,3,"$425,000","$443,700"
130 BLOOMER CRES,1001252400,TS-TWO STOREY,2017,8,"$541,000","$548,000"
150 BLOOMER CRES,1001254300,OS-ONE STOREY,2016,9,"$655,000","$676,600"
193 BLOOMER CRES,1005877400,OS-ONE STOREY,2016,3,"$430,000","$448,900"
211 BLOOMER CRES,1005871500,BL-BI-LEVEL,2017,8,"$450,000","$455,900"
211 BLOOMER CRES,1005871500,BL-BI-LEVEL,2018,3,"$480,000","$480,000"
63 BRAMBLE DR,1001920200,TS-TWO STOREY,2016,7,"$503,000","$521,600"
67 BRAMBLE DR,1001920400,OS-ONE STOREY,2017,7,"$600,000","$609,000"
74 BRAMBLE DR,1001913600,FL-4 LEVEL SPLIT,2016,8,"$444,000","$459,500"
246 CATHCART ST,1001037500,OS-ONE STOREY,2017,6,"$285,000","$289,600"
270 CATHCART ST,1001031600,BL-BI-LEVEL,2017,7,"$323,500","$328,400"
304 CATHCART ST,1001025000,OS-ONE STOREY,2017,9,"$396,555","$400,900"
308 CATHCART ST,1001024500,OS-ONE STOREY,2017,4,"$332,000","$338,600"
324 CATHCART ST,1001057200,OS-ONE STOREY,2016,8,"$385,000","$398,500"
368 CATHCART ST,1001193900,FL-4 LEVEL SPLIT,2016,7,"$395,000","$409,600"
19 COLLETT COVE,1001221500,OS-ONE STOREY,2017,8,"$667,500","$676,200"
2 DALLINGER DR,1009600140,TS-TWO STOREY,2016,9,"$533,333.30","$550,900"
23 DALLINGER DR,1009600345,OS-ONE STOREY,2016,6,"$514,823","$534,900"
23 DALLINGER DR,1009600345,OS-ONE STOREY,2017,6,"$605,000","$614,700"
220 ELMHURST RD,1000986500,OS-ONE STOREY,2016,7,"$255,000","$264,400"
289 ELMHURST RD,1000997000,OS-ONE STOREY,2017,1,"$290,000","$297,500"
299 ELMHURST RD,1000992100,OS-ONE STOREY,2016,12,"$172,500","$177,200"
299 ELMHURST RD,1000992100,OS-ONE STOREY,2018,3,"$184,900","$184,900"
300 ELMHURST RD,1000971500,OS-ONE STOREY,2016,12,"$315,000","$323,500"
360 ELMHURST RD,1001251600,OH-ONE & 1/2 STOREY,2016,8,"$260,000","$269,100"
379 ELMHURST RD,1001207900,OH-ONE & 1/2 STOREY,2017,9,"$465,000","$470,100"
431 ELMHURST RD,1001200000,OS-ONE STOREY,2016,6,"$365,000","$379,200"
436 ELMHURST RD,1005906700,OS-ONE STOREY,2016,10,"$640,000","$659,800"
446 ELMHURST RD,1005871900,OS-ONE STOREY,2017,11,"$310,000","$312,200"
450 ELMHURST RD,1005872000,OS-ONE STOREY,2016,9,"$289,900","$299,500"
3219 GRANT AVE,1001195000,OS-ONE STOREY,2016,4,"$256,000","$266,800"
3219 GRANT AVE,1001195000,OS-ONE STOREY,2017,7,"$261,000","$264,900"
3389 GRANT AVE,1001065600,OS-ONE STOREY,2017,9,"$152,000","$153,700"
3397 GRANT AVE,1001064800,TS-TWO STOREY,2016,7,"$249,000","$258,200"
3405 GRANT AVE,1001066300,TS-TWO STOREY,2017,7,"$229,900","$233,300"
3413 GRANT AVE,1001066700,OS-ONE STOREY,2016,8,"$230,000","$238,100"
223 HANEY ST,1001660400,OS-ONE STOREY,2018,2,"$182,000","$182,400"
397 HANEY ST,1005898600,OS-ONE STOREY,2017,8,"$305,000","$309,000"
251 LAXDAL RD,1001410500,OS-ONE STOREY,2017,9,"$190,000","$192,100"
257 LAXDAL RD,1001410000,OS-ONE STOREY,2017,8,"$285,000","$288,700"
270 LAXDAL RD,1001396200,OS-ONE STOREY,2017,7,"$389,900","$395,700"
279 LAXDAL RD,1001407100,OS-ONE STOREY,2016,9,"$302,500","$312,500"
328 LAXDAL RD,1001454000,OS-ONE STOREY,2017,10,"$200,000","$201,800"
363 LAXDAL RD,1001383200,OS-ONE STOREY,2017,8,"$320,000","$324,200"
384 LAXDAL RD,1009600175,TS-TWO STOREY,2016,1,"$365,000","$382,500"
397 LAXDAL RD,1001564400,OS-ONE STOREY,2016,12,"$279,750","$287,300"
410 LAXDAL RD,1001462800,OS-ONE STOREY,2016,4,"$353,000","$367,800"
221 LYNBROOK DR,1001040500,OS-ONE STOREY,2016,2,"$175,000","$183,100"
255 LYNBROOK DR,1001033500,OS-ONE STOREY,2016,6,"$244,000","$253,500"
304 LYNBROOK DR,1000995000,OS-ONE STOREY,2018,1,"$265,000","$266,100"
373 LYNBROOK DR,1001266900,BL-BI-LEVEL,2017,8,"$338,000","$342,400"
393 LYNBROOK DR,1001265400,OS-ONE STOREY,2016,9,"$320,000","$330,600"
409 LYNBROOK DR,1001264800,OS-ONE STOREY,2017,6,"$342,000","$347,500"
243 MCLEAN ST,1000977000,OS-ONE STOREY,2016,7,"$299,000","$310,100"
248 MCLEAN ST,1000951500,OS-ONE STOREY,2016,4,"$270,000","$281,300"
252 MCLEAN ST,1000951000,OS-ONE STOREY,2017,9,"$213,000","$215,300"
255 MCLEAN ST,1000975500,OS-ONE STOREY,2016,8,"$248,000","$256,700"
307 MCLEAN ST,1000964500,BL-BI-LEVEL,2017,4,"$440,000","$448,800"
3400 PARKIN AVE,1001064100,OS-ONE STOREY,2016,7,"$310,000","$321,500"
261 PRINCETON BLVD,1001438200,OS-ONE STOREY,2017,4,"$420,000","$428,400"
11 RONNANDER COVE,1001248600,TS-TWO STOREY,2017,5,"$419,500","$427,100"
35 STOCKDALE ST,1005878400,TS-TWO STOREY,2016,3,"$615,000","$642,100"
69 STOCKDALE ST,1000752500,OS-ONE STOREY,2016,10,"$295,000","$304,100"
96 STOCKDALE ST,1000732500,OS-ONE STOREY,2018,2,"$394,555","$395,300"
2 TILLBROOK PL,1009600230,OS-ONE STOREY,2016,10,"$504,761.90","$520,400"
215 VARSITY VIEW DR,1000956000,OS-ONE STOREY,2017,6,"$220,000","$223,500"
229 WEXFORD ST,1000789600,OS-ONE STOREY,2016,9,"$345,000","$356,400"
232 WEXFORD ST,1000777100,FL-4 LEVEL SPLIT,2016,6,"$319,900","$332,400"
240 WEXFORD ST,1000777700,BL-BI-LEVEL,2016,1,"$316,000","$331,200"
256 WEXFORD ST,1000647300,OS-ONE STOREY,2017,6,"$280,000","$284,500"
18 ADDINGTON BAY,1002364800,OS-ONE STOREY,2017,12,"$360,000","$361,800"
63 ADDINGTON BAY,1002362700,OS-ONE STOREY,2016,5,"$390,000","$405,600"
66 BLOSSOM BAY,1002205400,TS-TWO STOREY,2017,5,"$417,600","$425,100"
70 BLOSSOM BAY,1002205600,TS-TWO STOREY,2016,7,"$410,900","$426,100"
94 BLOSSOM BAY,1002207200,OS-ONE STOREY,2016,8,"$346,000","$358,100"
549 BUCKINGHAM RD,1002695500,OS-ONE STOREY,2017,11,"$327,500","$329,800"
579 BUCKINGHAM RD,1002698500,OS-ONE STOREY,2016,8,"$350,000","$362,300"
655 BUCKINGHAM RD,1002744500,TL-3 LEVEL SPLIT,2017,4,"$361,655","$368,900"
665 BUCKINGHAM RD,1002745000,OS-ONE STOREY,2017,10,"$385,000","$388,500"
751 BUCKINGHAM RD,1002754500,OS-ONE STOREY,2016,8,"$425,000","$439,900"
783 BUCKINGHAM RD,1002758000,OS-ONE STOREY,2016,1,"$395,000","$414,000"
