Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
900 ARCHIBALD ST,6032253000,OS-ONE STOREY,2017,10,"$244,000","$246,200"
17 BERKSHIRE BAY,6024002500,TS-TWO STOREY,2017,10,"$248,000","$250,200"
21 BERKSHIRE BAY,6024003000,TS-TWO STOREY,2016,11,"$220,000","$226,600"
27 BERKSHIRE BAY,6024004000,FL-4 LEVEL SPLIT,2016,5,"$217,000","$226,100"
35 BERKSHIRE BAY,6024005500,TS-TWO STOREY,2016,5,"$235,000","$244,900"
36 BERKSHIRE BAY,6025036500,TS-TWO STOREY,2017,10,"$215,000","$216,900"
57 BERKSHIRE BAY,6024009000,TS-TWO STOREY,2017,9,"$230,000","$232,500"
65 BERKSHIRE BAY,6024010500,FL-4 LEVEL SPLIT,2017,11,"$231,000","$232,800"
141 BERKSHIRE BAY,6024055000,TS-TWO STOREY,2017,11,"$219,900","$221,700"
173 BERKSHIRE BAY,6024061000,TS-TWO STOREY,2016,7,"$190,000","$197,200"
200 BERKSHIRE BAY,6025023000,FL-4 LEVEL SPLIT,2017,10,"$240,000","$242,200"
208 BERKSHIRE BAY,6025024500,TS-TWO STOREY,2017,1,"$170,000","$174,400"
213 BERKSHIRE BAY,6024070000,TS-TWO STOREY,2016,5,"$216,000","$225,100"
221 BERKSHIRE BAY,6024071500,TS-TWO STOREY,2017,10,"$200,000","$201,800"
233 BERKSHIRE BAY,6024074000,TS-TWO STOREY,2017,7,"$234,900","$238,400"
24 DRAKE BLVD,6025047000,TS-TWO STOREY,2018,3,"$185,000","$185,000"
36 DRAKE BLVD,6025045000,FL-4 LEVEL SPLIT,2017,8,"$248,000","$251,200"
46 DRAKE BLVD,6025043500,TS-TWO STOREY,2016,5,"$205,900","$214,500"
48 DRAKE BLVD,6025043000,TS-TWO STOREY,2017,7,"$224,000","$227,400"
904 DUGAS ST,6021145500,OS-ONE STOREY,2017,8,"$205,000","$207,700"
917 DUGAS ST,6021137000,TL-3 LEVEL SPLIT,2017,11,"$252,000","$254,000"
920 DUGAS ST,6021150000,OS-ONE STOREY,2017,8,"$196,888","$199,400"
952 DUGAS ST,6021036500,OS-ONE STOREY,2016,7,"$270,000","$280,300"
954 DUGAS ST,6021037000,TS-TWO STOREY,2016,10,"$305,000","$314,800"
959 DUGAS ST,6021032000,OS-ONE STOREY,2018,2,"$268,000","$268,500"
986 DUGAS ST,6021045000,OS-ONE STOREY,2017,6,"$249,500","$253,700"
1013 DUGAS ST,6021076000,TS-TWO STOREY,2018,1,"$260,000","$261,000"
1014 DUGAS ST,6093188500,OS-ONE STOREY,2018,1,"$190,000","$190,800"
621 ELIZABETH RD,6023800300,TS-TWO STOREY,2017,8,"$194,000","$196,500"
649 ELIZABETH RD,6023804800,TS-TWO STOREY,2016,8,"$185,000","$191,700"
777 ELIZABETH RD,6025131000,TS-TWO STOREY,2017,3,"$175,000","$179,000"
789 ELIZABETH RD,6025128000,TS-TWO STOREY,2017,8,"$209,900","$212,600"
909 ELIZABETH RD,6021162000,TS-TWO STOREY,2016,1,"$285,000","$299,000"
933 ELIZABETH RD,6021156500,TS-TWO STOREY,2016,7,"$340,000","$352,900"
961 ELIZABETH RD,6021055000,OS-ONE STOREY,2016,7,"$200,000","$207,600"
961 ELIZABETH RD,6021055000,OS-ONE STOREY,2017,9,"$275,000","$278,000"
969 ELIZABETH RD,6021053000,OS-ONE STOREY,2017,10,"$266,000","$268,400"
975 ELIZABETH RD,6021051000,TS-TWO STOREY,2017,4,"$305,000","$311,400"
1013 ELIZABETH RD,6021106000,OS-ONE STOREY,2018,3,"$237,000","$237,000"
1021 ELIZABETH RD,6021105000,TS-TWO STOREY,2017,10,"$322,500","$325,400"
11 HAMPSHIRE BAY,6025066000,TS-TWO STOREY,2016,10,"$218,000","$225,000"
14 HAMPSHIRE BAY,6025052000,FL-4 LEVEL SPLIT,2016,5,"$210,000","$218,800"
15 HAMPSHIRE BAY,6025065500,TS-TWO STOREY,2017,7,"$210,000","$213,200"
51 HAMPSHIRE BAY,6025058500,FL-4 LEVEL SPLIT,2016,2,"$205,000","$214,600"
3 OAKMONT AVE,6025009000,TS-TWO STOREY,2018,2,"$220,500","$220,900"
9 WICKHAM RD,6025103500,TS-TWO STOREY,2016,9,"$232,000","$239,900"
15 WICKHAM RD,6025104500,TS-TWO STOREY,2016,10,"$230,000","$237,400"
17 WICKHAM RD,6025105000,TS-TWO STOREY,2016,6,"$225,000","$234,000"
21 WICKHAM RD,6025106000,TS-TWO STOREY,2017,8,"$197,500","$200,100"
45 WICKHAM RD,6025110000,TS-TWO STOREY,2016,6,"$225,775","$234,800"
57 WICKHAM RD,6025112000,TS-TWO STOREY,2017,8,"$220,000","$222,900"
2 WILTSHIRE BAY,6025090500,TS-TWO STOREY,2017,10,"$219,900","$221,900"
3 WILTSHIRE BAY,6025069000,TS-TWO STOREY,2016,5,"$205,000","$213,600"
10 WILTSHIRE BAY,6025092000,TS-TWO STOREY,2016,9,"$235,500","$243,500"
23 WILTSHIRE BAY,6025072500,TS-TWO STOREY,2017,5,"$219,900","$224,100"
25 WILTSHIRE BAY,6025141000,TS-TWO STOREY,2017,8,"$228,000","$231,000"
27 WILTSHIRE BAY,6025142000,TS-TWO STOREY,2016,9,"$235,000","$243,000"
45 WILTSHIRE BAY,6025148000,FL-4 LEVEL SPLIT,2017,3,"$210,000","$214,800"
81 WILTSHIRE BAY,6025160000,FL-4 LEVEL SPLIT,2017,9,"$229,900","$232,400"
97 WILTSHIRE BAY,6025163000,FL-4 LEVEL SPLIT,2017,12,"$225,000","$226,400"
102 WILTSHIRE BAY,6025098500,TS-TWO STOREY,2016,4,"$205,000","$214,000"
37 AMBROISE LANE,8008133500,OS-ONE STOREY,2017,9,"$501,000","$506,500"
3 AREISA BAY,8005038800,OS-ONE STOREY,2016,11,"$300,000","$309,000"
11 AREISA BAY,8005038400,TS-TWO STOREY,2016,5,"$425,000","$442,900"
61 AVALON RD,8004523300,OS-ONE STOREY,2017,7,"$300,000","$304,500"
84 AVALON RD,8004531000,TS-TWO STOREY,2017,10,"$322,900","$325,800"
99 AVALON RD,8004536600,OS-ONE STOREY,2016,8,"$286,000","$296,300"
105 AVALON RD,8004536400,OS-ONE STOREY,2017,9,"$279,900","$283,000"
137 AVALON RD,8004425800,OS-ONE STOREY,2016,7,"$368,000","$382,000"
164 AVALON RD,8004780900,OS-ONE STOREY,2016,7,"$270,000","$280,300"
277 AVALON RD,8004416000,OS-ONE STOREY,2016,9,"$340,000","$351,600"
322 AVALON RD,8004339400,OS-ONE STOREY,2017,3,"$289,000","$295,600"
410 AVALON RD,8004520300,OS-ONE STOREY,2016,7,"$285,000","$295,800"
414 AVALON RD,8004519600,OS-ONE STOREY,2016,4,"$320,000","$334,100"
19 BAILLEY AVE,8004574900,BL-BI-LEVEL,2016,11,"$365,000","$376,000"
55 BETHRAY BAY,8021234000,TS-TWO STOREY,2016,10,"$485,714.20","$501,300"
18 BLACKMORE AVE,8004552100,OS-ONE STOREY,2017,1,"$288,000","$295,500"
22 BLACKMORE AVE,8004645900,OS-ONE STOREY,2016,8,"$330,000","$341,900"
3 BLUE SPRUCE CRES,8004814000,BL-BI-LEVEL,2016,11,"$288,500","$297,200"
10 BLUE SPRUCE CRES,8004777200,OS-ONE STOREY,2017,12,"$292,000","$293,800"
19 BLUE SPRUCE CRES,8004812400,BL-BI-LEVEL,2016,9,"$272,900","$282,200"
22 BLUE SPRUCE CRES,8004778100,BL-BI-LEVEL,2018,2,"$295,000","$295,600"
26 BLUE SPRUCE CRES,8004819400,OS-ONE STOREY,2018,3,"$340,000","$340,000"
46 BLUE SPRUCE CRES,8004802000,OS-ONE STOREY,2017,9,"$300,000","$303,300"
54 BLUE SPRUCE CRES,8004801200,TL-3 LEVEL SPLIT,2016,8,"$298,000","$308,700"
2 BUCKLEY BAY,8004371700,OS-ONE STOREY,2017,4,"$270,000","$275,700"
6 BUCKLEY BAY,8004370500,OS-ONE STOREY,2016,6,"$300,000","$312,000"
158 DARWIN ST,8004783000,OS-ONE STOREY,2017,7,"$355,100","$360,400"
215 DARWIN ST,8004845000,OS-ONE STOREY,2017,3,"$324,000","$331,500"
91 FERNLEAF DR,8005398300,OS-ONE STOREY,2017,3,"$295,000","$301,800"
12 GLENTHORNE CRES,8005063800,OS-ONE STOREY,2018,3,"$337,500","$337,500"
50 GLENTHORNE CRES,8005470200,OS-ONE STOREY,2017,5,"$252,000","$256,800"
81 GLENTHORNE CRES,8005024300,OS-ONE STOREY,2017,4,"$278,000","$283,800"
7 GOLDEN WILLOW CRES,8004343300,BL-BI-LEVEL,2018,1,"$338,500","$339,900"
12 GREENDELL AVE,8005061000,OS-ONE STOREY,2017,3,"$260,000","$266,000"
37 GREENDELL AVE,8005015000,OH-ONE & 1/2 STOREY,2016,6,"$295,000","$306,800"
131 GREENDELL AVE,8004973000,OH-ONE & 1/2 STOREY,2017,10,"$375,000","$378,400"
27 HARRY COLLINS AVE,8004636000,OS-ONE STOREY,2016,9,"$310,000","$320,500"
83 HARRY COLLINS AVE,8005401900,OS-ONE STOREY,2017,7,"$346,000","$351,200"
8 MCMURRAY BAY,8004513300,OS-ONE STOREY,2016,10,"$319,000","$329,200"
19 MCNULTY CRES,8007678500,TO-TWO/ONE STOREY,2017,8,"$499,900","$506,400"
46 MCNULTY CRES,8007685000,TS-TWO STOREY,2017,2,"$640,000","$655,400"
15 METZ ST,8004607000,OS-ONE STOREY,2017,11,"$275,000","$277,200"
19 METZ ST,8004607500,OS-ONE STOREY,2017,12,"$314,000","$315,900"
35 METZ ST,8004609500,OS-ONE STOREY,2017,11,"$291,100","$293,400"
46 METZ ST,8004657300,OS-ONE STOREY,2016,10,"$274,000","$282,800"
78 METZ ST,8004839400,OS-ONE STOREY,2017,12,"$300,000","$301,800"
36 MILLFIELD DR,8004957700,OS-ONE STOREY,2017,7,"$352,000","$357,300"
54 MILLFIELD DR,8004958100,OS-ONE STOREY,2017,7,"$319,900","$324,700"
11 MINNETONKA ST,8004437300,BL-BI-LEVEL,2017,9,"$325,500","$329,100"
108 MINNETONKA ST,8004982900,OS-ONE STOREY,2016,7,"$299,000","$310,400"
63 NICOLLET AVE,8005467500,OH-ONE & 1/2 STOREY,2018,3,"$385,300","$385,300"
68 NICOLLET AVE,8005480300,OS-ONE STOREY,2018,3,"$379,900","$379,900"
102 NICOLLET AVE,8005478500,BL-BI-LEVEL,2017,4,"$370,000","$377,800"
11 OAKRIDGE BAY,8004652900,OS-ONE STOREY,2017,11,"$339,900","$342,600"
31 RAVINE DR,8004750200,OS-ONE STOREY,2017,6,"$505,000","$513,600"
81 RAVINE DR,8008130100,OS-ONE STOREY,2016,10,"$541,888","$559,200"
94 RAVINE DR,8008121600,TS-TWO STOREY,2016,8,"$805,000","$834,000"
118 RAVINE DR,8008122800,TS-TWO STOREY,2018,2,"$450,000","$450,900"
37 RIEL AVE,8004829700,O3-ONE & 3/4 STOREY,2016,7,"$225,100","$233,700"
121 RIEL AVE,8004791600,OS-ONE STOREY,2016,11,"$265,000","$273,000"
136 RIEL AVE,8004842600,OS-ONE STOREY,2017,6,"$270,000","$274,600"
150 RIEL AVE,8004852000,BL-BI-LEVEL,2016,12,"$299,900","$308,300"
300 RIEL AVE,8004624400,OS-ONE STOREY,2017,8,"$296,500","$300,400"
315 RIEL AVE,8004348300,OS-ONE STOREY,2017,7,"$293,000","$297,400"
338 RIEL AVE,8004621700,OS-ONE STOREY,2017,9,"$322,500","$326,000"
377 RIEL AVE,8004522100,OS-ONE STOREY,2017,12,"$285,500","$287,200"
278 RIVER RD,8004552300,OS-ONE STOREY,2017,5,"$357,000","$363,800"
317 RIVER RD,8004630800,BL-BI-LEVEL,2017,11,"$349,900","$352,700"
337 RIVER RD,8004631800,OS-ONE STOREY,2018,2,"$265,000","$265,500"
345 RIVER RD,8004632200,OS-ONE STOREY,2018,2,"$325,000","$325,700"
365 RIVER RD,8005402700,TL-3 LEVEL SPLIT,2017,1,"$295,000","$302,700"
407 RIVER RD,8004938300,OS-ONE STOREY,2016,3,"$315,000","$329,200"
435 RIVER RD,8004963200,TS-TWO STOREY,2017,9,"$550,000","$556,100"
525 RIVER RD,8081221120,TS-TWO STOREY,2018,3,"$322,000","$322,000"
697 RIVER RD,8005477400,OS-ONE STOREY,2016,12,"$241,000","$247,700"
729 RIVER RD,8005479500,OS-ONE STOREY,2018,1,"$265,000","$266,100"
30 RIVER POINTE DR,8008116400,OS-ONE STOREY,2016,6,"$499,900","$519,900"
42 RIVER POINTE DR,8021143400,TS-TWO STOREY,2017,7,"$680,000","$690,200"
61 RIVER POINTE DR,8008140000,TS-TWO STOREY,2016,5,"$690,000","$719,000"
138 RIVER POINTE DR,8008119800,TS-TWO STOREY,2016,7,"$600,000","$622,800"
3 RIVERBEND AVE,8005045400,OS-ONE STOREY,2017,5,"$240,000","$244,600"
8 RIVERBEND AVE,8005048900,TL-3 LEVEL SPLIT,2016,8,"$265,000","$274,500"
17 RIVERBEND AVE,8005044500,OS-ONE STOREY,2016,9,"$333,000","$344,300"
21 RIVERBEND AVE,8005044000,OS-ONE STOREY,2017,12,"$257,000","$258,500"
27 RIVERBEND AVE,8005042500,BL-BI-LEVEL,2016,8,"$281,000","$291,100"
63 RIVERBEND AVE,8004856800,OH-ONE & 1/2 STOREY,2016,8,"$280,000","$290,100"
94 RIVERBEND AVE,8004993700,FL-4 LEVEL SPLIT,2016,2,"$300,000","$314,100"
26 RIVERHAVEN GROVE,8020974400,OS-ONE STOREY,2017,7,"$925,000","$938,900"
46 RIVERHAVEN GROVE,8020974900,OS-ONE STOREY,2017,7,"$905,000","$918,600"
114 RIVERHAVEN GROVE,8020976400,TO-TWO/ONE STOREY,2017,8,"$625,000","$633,100"
75 ROBERTSON CRES,8004867500,OS-ONE STOREY,2017,5,"$311,000","$316,900"
91 ROBERTSON CRES,8004866700,BL-BI-LEVEL,2016,6,"$264,900","$275,500"
31 SANDRALIN BAY,8004395500,OS-ONE STOREY,2016,2,"$298,000","$312,000"
35 SANDRALIN BAY,8004395200,OS-ONE STOREY,2016,10,"$285,000","$294,100"
40 SETTLERS RD,8008124400,TS-TWO STOREY,2018,3,"$517,500","$517,500"
35 ST GERMAIN ST,8004637600,OS-ONE STOREY,2016,8,"$368,000","$381,200"
46 ST GERMAIN ST,8004635200,BL-BI-LEVEL,2018,3,"$350,000","$350,000"
2 WEEPING WILLOW DR,8004808000,OS-ONE STOREY,2017,4,"$295,000","$301,200"
104 WINSLOW DR,8004937500,OS-ONE STOREY,2016,10,"$308,500","$318,400"
178 WINSLOW DR,8004948300,TS-TWO STOREY,2016,11,"$354,000","$364,600"
15 WOODLAWN AVE,8005053400,OS-ONE STOREY,2017,8,"$378,000","$382,900"
31 WOODLAWN AVE,8005003300,FL-4 LEVEL SPLIT,2016,8,"$345,000","$357,400"
47 WOODLAWN AVE,8005000500,OS-ONE STOREY,2016,6,"$355,500","$369,700"
64 WOODLAWN AVE,8005011300,FL-4 LEVEL SPLIT,2016,4,"$400,000","$417,600"
128 WOODLAWN AVE,8004974300,OS-ONE STOREY,2018,1,"$359,900","$361,300"
138 WOODLAWN AVE,8004973700,OS-ONE STOREY,2016,12,"$319,000","$327,900"
156 WOODLAWN AVE,8004969700,OS-ONE STOREY,2016,8,"$292,000","$302,500"
165 WOODLAWN AVE,8004943300,TS-TWO STOREY,2016,8,"$270,000","$279,700"
175 WOODLAWN AVE,8004941900,FL-4 LEVEL SPLIT,2018,1,"$385,000","$386,500"
177 WOODLAWN AVE,8004941100,OS-ONE STOREY,2017,11,"$274,900","$277,100"
14 ARDEN AVE,8004014300,OS-ONE STOREY,2017,4,"$293,000","$299,200"
43 ARDEN AVE,8003995600,OS-ONE STOREY,2017,6,"$344,000","$349,800"
45 ARDEN AVE,8003995700,OS-ONE STOREY,2016,11,"$299,900","$308,900"
70 ARDEN AVE,8004033000,OH-ONE & 1/2 STOREY,2017,6,"$291,500","$296,500"
98 ARDEN AVE,8004024300,OS-ONE STOREY,2017,9,"$274,000","$277,000"
100 ARDEN AVE,8004024400,TL-3 LEVEL SPLIT,2017,10,"$315,000","$317,800"
109 ARDEN AVE,8003990200,OS-ONE STOREY,2017,5,"$160,000","$163,000"
114 ARDEN AVE,8004025000,OS-ONE STOREY,2017,7,"$390,000","$395,900"
148 ARDEN AVE,8004030700,OS-ONE STOREY,2017,11,"$355,000","$357,800"
80 BARRINGTON AVE,8003367400,OS-ONE STOREY,2017,12,"$280,000","$281,700"
87 BARRINGTON AVE,8003375300,OS-ONE STOREY,2016,8,"$294,500","$305,100"
92 BARRINGTON AVE,8003366800,OS-ONE STOREY,2017,7,"$325,000","$329,900"
99 BARRINGTON AVE,8003372000,OS-ONE STOREY,2017,8,"$299,900","$303,800"
100 BARRINGTON AVE,8003366400,TL-3 LEVEL SPLIT,2016,3,"$311,000","$325,000"
117 BARRINGTON AVE,8003443500,OS-ONE STOREY,2017,6,"$310,000","$315,300"
155 BARRINGTON AVE,8003453000,OS-ONE STOREY,2016,9,"$275,000","$284,400"
86 BETHUNE WAY,8004056800,OS-ONE STOREY,2017,7,"$425,000","$431,400"
107 BETHUNE WAY,8004025900,OS-ONE STOREY,2016,4,"$387,500","$404,600"
12 CABOT CRES,8003489000,TL-3 LEVEL SPLIT,2017,11,"$275,000","$277,200"
20 CABOT CRES,8003569500,TL-3 LEVEL SPLIT,2016,8,"$325,000","$336,700"
37 CABOT CRES,8003590000,OS-ONE STOREY,2016,8,"$355,000","$367,800"
40 CABOT CRES,8003564500,OS-ONE STOREY,2017,5,"$320,000","$326,100"
56 CABOT CRES,8003560500,OS-ONE STOREY,2016,6,"$325,000","$338,000"
103 CROFTON BAY,8003501800,OS-ONE STOREY,2018,3,"$290,000","$290,000"
125 CROFTON BAY,8003506500,TL-3 LEVEL SPLIT,2016,6,"$320,000","$332,800"
156 CROFTON BAY,8003527000,BL-BI-LEVEL,2016,10,"$305,000","$314,800"
158 CROFTON BAY,8003528000,OS-ONE STOREY,2017,4,"$300,000","$306,300"
172 CROFTON BAY,8003531500,OS-ONE STOREY,2017,7,"$300,000","$304,500"
175 CROFTON BAY,8003521500,TL-3 LEVEL SPLIT,2017,10,"$280,000","$282,500"
179 CROFTON BAY,8003520500,OS-ONE STOREY,2018,1,"$245,000","$246,000"
181 CROFTON BAY,8003520000,OS-ONE STOREY,2017,8,"$347,900","$352,400"
22 DARWIN ST,8004052900,TS-TWO STOREY,2017,10,"$355,000","$358,200"
19 FALCONER BAY,8003949500,BL-BI-LEVEL,2018,3,"$332,519","$332,500"
31 FALCONER BAY,8003948600,TS-TWO STOREY,2017,5,"$437,500","$445,800"
63 FALCONER BAY,8003946200,OS-ONE STOREY,2017,5,"$371,000","$378,000"
2 HARRY WYATT PL,8003972000,TS-TWO STOREY,2017,6,"$460,000","$467,800"
3 HARRY WYATT PL,8003975000,BL-BI-LEVEL,2016,9,"$405,100","$418,900"
50 HARRY WYATT PL,8003980400,TS-TWO STOREY,2018,3,"$570,000","$570,000"
46 HASTINGS BLVD,8003322000,OH-ONE & 1/2 STOREY,2017,10,"$273,000","$275,500"
3 JAQUET BAY,8003963000,TS-TWO STOREY,2017,3,"$397,500","$406,600"
61 MOORE AVE,8003324800,BL-BI-LEVEL,2016,11,"$305,000","$314,200"
73 MOORE AVE,8003325300,TS-TWO STOREY,2016,6,"$330,000","$343,200"
77 MOORE AVE,8003325400,BL-BI-LEVEL,2016,12,"$301,000","$309,400"
95 MOORE AVE,8003326200,TS-TWO STOREY,2017,9,"$332,000","$335,700"
112 MOORE AVE,8003353500,OS-ONE STOREY,2016,7,"$295,000","$306,200"
124 MOORE AVE,8003501300,OS-ONE STOREY,2016,6,"$284,000","$295,400"
124 MOORE AVE,8003501300,OS-ONE STOREY,2017,10,"$292,500","$295,100"
161 MOORE AVE,8003407500,OS-ONE STOREY,2016,3,"$225,000","$235,100"
161 MOORE AVE,8003407500,OS-ONE STOREY,2017,4,"$310,000","$316,500"
174 MOORE AVE,8003613500,OS-ONE STOREY,2017,8,"$273,000","$276,500"
184 MOORE AVE,8003611000,OS-ONE STOREY,2017,7,"$300,000","$304,500"
29 PARKVILLE DR,8003313500,OH-ONE & 1/2 STOREY,2017,9,"$289,000","$292,200"
31 PARKVILLE DR,8003313000,OS-ONE STOREY,2016,10,"$355,000","$366,400"
68 PARKVILLE DR,8003299000,OS-ONE STOREY,2017,11,"$285,000","$287,300"
82 PARKVILLE DR,8003997900,TL-3 LEVEL SPLIT,2016,7,"$287,000","$297,900"
89 PARKVILLE DR,8081218115,TS-TWO STOREY,2017,9,"$405,000","$409,500"
90 PARKVILLE DR,8003997700,OS-ONE STOREY,2016,3,"$240,230","$251,000"
90 PARKVILLE DR,8003997700,OS-ONE STOREY,2016,11,"$299,900","$308,900"
92 PARKVILLE DR,8003997600,OS-ONE STOREY,2016,12,"$280,000","$287,800"
96 PARKVILLE DR,8003997400,TS-TWO STOREY,2017,10,"$362,000","$365,300"
97 PARKVILLE DR,8003554500,TL-3 LEVEL SPLIT,2016,5,"$294,000","$306,300"
121 PARKVILLE DR,8003577000,OS-ONE STOREY,2017,8,"$308,000","$312,000"
127 PARKVILLE DR,8003578500,OS-ONE STOREY,2017,2,"$310,000","$317,400"
170 PARKVILLE DR,8003984200,OS-ONE STOREY,2017,12,"$293,000","$294,800"
186 PARKVILLE DR,8003981400,OS-ONE STOREY,2017,6,"$270,000","$274,600"
190 PARKVILLE DR,8003981200,OS-ONE STOREY,2016,8,"$307,500","$318,600"
208 PARKVILLE BAY,8003991200,OS-ONE STOREY,2016,9,"$431,000","$445,700"
214 PARKVILLE BAY,8003990900,OS-ONE STOREY,2016,10,"$360,000","$371,500"
2 RIVER LANE,8003644500,OS-ONE STOREY,2017,11,"$255,500","$257,500"
