Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
70 BURGUNDY CRES,3071103000,OS-ONE STOREY,2018,2,"$328,000","$329,000"
1032 BYNG PL,3071850500,OS-ONE STOREY,2017,9,"$275,000","$280,200"
1101 BYNG PL,3071857000,OS-ONE STOREY,2016,6,"$250,900","$267,700"
1014 EDDERTON AVE,3071904000,OS-ONE STOREY,2017,9,"$200,000","$203,800"
1018 EDDERTON AVE,3071903000,OS-ONE STOREY,2016,9,"$232,000","$245,200"
1027 EDDERTON AVE,3071938000,OS-ONE STOREY,2017,7,"$350,000","$358,800"
1043 EDDERTON AVE,3071943000,OH-ONE & 1/2 STOREY,2018,1,"$234,000","$235,400"
1047 EDDERTON AVE,3071944000,OH-ONE & 1/2 STOREY,2016,9,"$203,000","$214,600"
1048 EDDERTON AVE,3071896000,TS-TWO STOREY,2018,3,"$275,000","$275,000"
1101 EDDERTON AVE,3072134000,OH-ONE & 1/2 STOREY,2017,8,"$265,000","$270,800"
1105 EDDERTON AVE,3072133000,OH-ONE & 1/2 STOREY,2017,4,"$209,000","$216,100"
1112 EDDERTON AVE,3071892000,OS-ONE STOREY,2017,7,"$300,000","$307,500"
1132 EDDERTON AVE,3071888000,OS-ONE STOREY,2016,6,"$210,000","$224,100"
1210 EDDERTON AVE,3071884000,OS-ONE STOREY,2016,6,"$195,000","$208,100"
1229 EDDERTON AVE,3072107000,OS-ONE STOREY,2017,11,"$253,000","$256,000"
1233 EDDERTON AVE,3072106000,O3-ONE & 3/4 STOREY,2016,9,"$200,000","$211,400"
1301 EDDERTON AVE,3092991375,BL-BI-LEVEL,2016,8,"$290,600.70","$308,000"
1302 EDDERTON AVE,3071876000,OS-ONE STOREY,2016,4,"$241,000","$258,600"
1303 EDDERTON AVE,3092991370,BL-BI-LEVEL,2016,8,"$300,387.50","$318,400"
1309 EDDERTON AVE,3072073000,TO-TWO/ONE STOREY,2016,3,"$324,000","$348,600"
1338 EDDERTON AVE,3071867000,OS-ONE STOREY,2016,6,"$380,000","$405,500"
42 JUPITER BAY,3071320000,OS-ONE STOREY,2016,12,"$255,000","$267,000"
44 JUPITER BAY,3071321000,OS-ONE STOREY,2017,11,"$260,000","$263,100"
56 JUPITER BAY,3071327000,FL-4 LEVEL SPLIT,2017,5,"$352,999","$363,900"
1405 MARS DR,3071415000,OS-ONE STOREY,2016,9,"$288,000","$304,400"
1418 MARS DR,3071441100,OS-ONE STOREY,2017,11,"$309,900","$313,600"
1431 MARS DR,3071253000,OS-ONE STOREY,2017,6,"$311,000","$319,700"
1434 MARS DR,3071449100,OS-ONE STOREY,2017,12,"$369,000","$372,300"
1435 MARS DR,3071255000,OS-ONE STOREY,2017,8,"$325,000","$332,200"
1442 MARS DR,3071453000,BL-BI-LEVEL,2018,2,"$349,000","$350,000"
1443 MARS DR,3071231000,OS-ONE STOREY,2017,7,"$315,000","$322,900"
3 MERCURY BAY,3071188000,OS-ONE STOREY,2018,2,"$325,000","$326,000"
4 MERCURY BAY,3071191000,BL-BI-LEVEL,2017,10,"$275,000","$279,100"
9 MERCURY BAY,3071185000,OS-ONE STOREY,2016,5,"$325,100","$347,900"
19 MERCURY BAY,3071181000,TS-TWO STOREY,2017,3,"$360,000","$373,700"
21 MERCURY BAY,3071180000,OS-ONE STOREY,2016,7,"$299,900","$318,800"
35 MERCURY BAY,3071173000,OS-ONE STOREY,2017,10,"$356,000","$361,300"
9 NEPTUNE BAY,3071293000,TL-3 LEVEL SPLIT,2017,6,"$286,000","$294,000"
11 NEPTUNE BAY,3071292000,OS-ONE STOREY,2018,2,"$307,000","$307,900"
26 NEPTUNE BAY,3071287000,OS-ONE STOREY,2017,8,"$303,000","$309,700"
1059 PARKER AVE,12097739800,TS-TWO STOREY,2016,7,"$340,000","$361,400"
1095 PARKER AVE,12001908000,OH-ONE & 1/2 STOREY,2017,7,"$282,000","$289,100"
1139 PARKER AVE,12001925000,OH-ONE & 1/2 STOREY,2016,7,"$193,000","$205,200"
1144 PARKER AVE,12001942000,OS-ONE STOREY,2018,2,"$255,000","$255,800"
1157 PARKER AVE,12002059000,OH-ONE & 1/2 STOREY,2016,5,"$200,000","$214,000"
1161 PARKER AVE,12002056000,OS-ONE STOREY,2017,9,"$205,000","$208,900"
1200 PARKER AVE,12002032500,OS-ONE STOREY,2017,10,"$244,900","$248,600"
1204 PARKER AVE,12002032200,OS-ONE STOREY,2017,8,"$250,000","$255,500"
1215 PARKER AVE,12002074000,BL-BI-LEVEL,2017,8,"$285,000","$291,300"
1018 RIVERWOOD AVE,3071078000,OS-ONE STOREY,2016,4,"$253,000","$271,500"
1122 RIVERWOOD AVE,3071077000,OS-ONE STOREY,2017,10,"$215,000","$218,200"
1133 RIVERWOOD AVE,3071066000,OS-ONE STOREY,2016,8,"$230,000","$243,800"
1138 RIVERWOOD AVE,3071072000,OS-ONE STOREY,2016,12,"$215,000","$225,100"
5 ROSEMOUNT BAY,3071365000,OS-ONE STOREY,2016,5,"$311,000","$332,800"
1016 ROSEMOUNT AVE,3071934000,OS-ONE STOREY,2016,2,"$235,000","$253,800"
1020 ROSEMOUNT AVE,3071933000,OS-ONE STOREY,2016,7,"$282,500","$300,300"
1032 ROSEMOUNT AVE,3071930000,OS-ONE STOREY,2017,11,"$219,900","$222,500"
1035 ROSEMOUNT AVE,3071918000,OS-ONE STOREY,2016,5,"$211,000","$225,800"
1037 ROSEMOUNT AVE,3071917000,OS-ONE STOREY,2017,5,"$190,000","$195,900"
1100 ROSEMOUNT AVE,3072115000,OS-ONE STOREY,2016,8,"$245,000","$259,700"
1111 ROSEMOUNT AVE,3072137000,OS-ONE STOREY,2017,3,"$180,000","$186,800"
1111 ROSEMOUNT AVE,3072137000,OS-ONE STOREY,2018,2,"$175,000","$175,500"
1203 ROSEMOUNT AVE,3072085000,O3-ONE & 3/4 STOREY,2016,6,"$235,000","$250,700"
1208 ROSEMOUNT AVE,3072097000,OS-ONE STOREY,2016,8,"$239,000","$253,300"
1237 ROSEMOUNT AVE,3072094000,OS-ONE STOREY,2016,5,"$195,000","$208,700"
1237 ROSEMOUNT AVE,3072094000,OS-ONE STOREY,2016,11,"$190,000","$199,500"
1309 ROSEMOUNT AVE,3072078000,OS-ONE STOREY,2016,9,"$210,000","$222,000"
1310 ROSEMOUNT AVE,3072057000,OS-ONE STOREY,2017,7,"$265,000","$271,600"
1321 ROSEMOUNT AVE,3072080500,OH-ONE & 1/2 STOREY,2017,6,"$220,000","$226,200"
5 SATURN BAY,3071164000,TL-3 LEVEL SPLIT,2017,5,"$295,000","$304,100"
14 SATURN BAY,3071210000,OS-ONE STOREY,2016,12,"$315,000","$329,800"
25 SATURN BAY,3071155000,OS-ONE STOREY,2016,11,"$337,000","$353,900"
1102 SOMERVILLE AVE,3071779000,OH-ONE & 1/2 STOREY,2016,6,"$260,000","$277,400"
1102 SOMERVILLE AVE,3071779000,OH-ONE & 1/2 STOREY,2017,6,"$278,500","$286,300"
1136 SOMERVILLE AVE,3071789000,OS-ONE STOREY,2016,11,"$191,000","$200,600"
1145 SOMERVILLE AVE,3071759000,OH-ONE & 1/2 STOREY,2016,3,"$227,500","$244,800"
1161 SOMERVILLE AVE,3071764000,OS-ONE STOREY,2016,7,"$175,000","$186,000"
1169 SOMERVILLE AVE,3071766400,BL-BI-LEVEL,2016,12,"$234,000","$245,000"
1170 SOMERVILLE AVE,3071798000,TS-TWO STOREY,2016,4,"$238,000","$255,400"
1170 SOMERVILLE AVE,3071798000,TS-TWO STOREY,2016,11,"$291,000","$305,600"
1409 SOMERVILLE AVE,3071389000,OS-ONE STOREY,2017,6,"$332,500","$341,800"
1413 SOMERVILLE AVE,3071264000,OS-ONE STOREY,2017,8,"$315,000","$321,900"
1416 SOMERVILLE AVE,3071243000,OS-ONE STOREY,2017,5,"$275,000","$283,500"
1419 SOMERVILLE AVE,3071267000,OS-ONE STOREY,2016,1,"$324,900","$351,900"
1440 SOMERVILLE AVE,3071221500,OS-ONE STOREY,2017,4,"$250,000","$258,500"
1442 SOMERVILLE AVE,3071222000,OS-ONE STOREY,2017,10,"$320,000","$324,800"
1034 SOUTHWOOD AVE,3092992480,OS-ONE STOREY,2016,9,"$165,000","$174,400"
1123 SOUTHWOOD AVE,3071043000,OS-ONE STOREY,2017,4,"$300,000","$310,200"
1131 SOUTHWOOD AVE,3071041000,OS-ONE STOREY,2016,9,"$165,000","$174,400"
20 VENUS BAY,3071379000,TL-3 LEVEL SPLIT,2017,12,"$270,000","$272,400"
12 WATERFORD BAY,3071465000,OS-ONE STOREY,2016,7,"$290,000","$308,300"
