Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
119 ARCHIBALD ST,6050014000,O3-ONE & 3/4 STOREY,2016,7,"$183,000","$192,900"
125 ARCHIBALD ST,6050032000,OH-ONE & 1/2 STOREY,2017,1,"$180,000","$186,700"
175 ARCHIBALD ST,6050075000,OS-ONE STOREY,2017,6,"$145,000","$148,500"
224 AUBERT ST,6060413100,OS-ONE STOREY,2016,6,"$425,000","$449,200"
34 DES INTREPIDES PROM,6061416300,BL-BI-LEVEL,2017,6,"$571,000","$584,700"
75 DES INTREPIDES PROM,6061415100,TS-TWO STOREY,2017,6,"$650,000","$665,600"
141 DUMOULIN ST,6060270000,OS-ONE STOREY,2017,10,"$315,000","$319,100"
145 DUMOULIN ST,6060271000,TS-TWO STOREY,2017,7,"$420,000","$428,800"
165 DUMOULIN ST,6060277000,OH-ONE & 1/2 STOREY,2018,3,"$325,000","$325,000"
201 DUMOULIN ST,6060280100,O3-ONE & 3/4 STOREY,2017,7,"$181,000","$184,800"
227 DUMOULIN ST,6060289000,OH-ONE & 1/2 STOREY,2016,10,"$190,000","$198,700"
253 DUMOULIN ST,6060960000,TS-TWO STOREY,2016,4,"$344,250","$365,600"
326 DUMOULIN ST,6060461000,OH-ONE & 1/2 STOREY,2016,9,"$189,999","$199,100"
340 DUMOULIN ST,6060858000,OS-ONE STOREY,2017,7,"$190,000","$194,000"
345 DUMOULIN ST,6060849000,O3-ONE & 3/4 STOREY,2016,6,"$236,500","$250,000"
432 DUMOULIN ST,6051073000,OS-ONE STOREY,2017,1,"$167,000","$173,200"
455 DUMOULIN ST,6051052000,TS-TWO STOREY,2017,2,"$362,500","$375,200"
458 DUMOULIN ST,6051066000,O3-ONE & 3/4 STOREY,2016,8,"$228,500","$240,200"
472 DUMOULIN ST,6051062000,OS-ONE STOREY,2016,1,"$185,000","$198,000"
31 GABRIELLE ROY PL,6061421400,TS-TWO STOREY,2016,10,"$650,000","$679,900"
43 GABRIELLE ROY PL,6061422000,TS-TWO STOREY,2016,7,"$587,500","$619,200"
165 LA VERENDRYE ST,6060193400,O3-ONE & 3/4 STOREY,2016,10,"$367,000","$383,900"
226 LA VERENDRYE ST,6060214000,TS-TWO STOREY,2017,7,"$320,000","$326,700"
246 LA VERENDRYE ST,6060490000,OH-ONE & 1/2 STOREY,2017,11,"$275,000","$278,000"
508 LA VERENDRYE ST,6050015000,BL-BI-LEVEL,2017,7,"$235,000","$239,900"
749 LANGEVIN ST,6060436000,O3-ONE & 3/4 STOREY,2016,4,"$165,500","$175,800"
202 NOTRE DAME ST,6060254000,TH-TWO & 1/2 STOREY,2016,3,"$285,000","$303,500"
215 NOTRE DAME ST,6060229000,OH-ONE & 1/2 STOREY,2017,2,"$234,000","$242,200"
217 NOTRE DAME ST,6060230000,OH-ONE & 1/2 STOREY,2017,1,"$247,500","$256,700"
259 NOTRE DAME ST,6060520000,TS-TWO STOREY,2018,3,"$310,000","$310,000"
264 NOTRE DAME ST,6060947000,OH-ONE & 1/2 STOREY,2017,7,"$295,000","$301,200"
285 NOTRE DAME ST,6060529000,TS-TWO STOREY,2016,6,"$400,000","$422,800"
466 NOTRE DAME ST,6051032000,OH-ONE & 1/2 STOREY,2017,4,"$238,000","$244,900"
483 NOTRE DAME ST,6050043000,OH-ONE & 1/2 STOREY,2016,6,"$261,000","$275,900"
488 NOTRE DAME ST,6050058000,OH-ONE & 1/2 STOREY,2016,9,"$245,000","$256,800"
496 NOTRE DAME ST,6050056000,OH-ONE & 1/2 STOREY,2016,5,"$205,000","$217,100"
255 PROVENCHER BLVD,6060995000,TS-TWO STOREY,2016,3,"$360,000","$383,400"
315 PROVENCHER BLVD,6060873000,TS-TWO STOREY,2016,4,"$310,000","$329,200"
319 PROVENCHER BLVD,6060872000,OH-ONE & 1/2 STOREY,2016,5,"$263,000","$278,500"
730 ST JEAN BAPTISTE ST,6060507000,TS-TWO STOREY,2016,11,"$485,000","$505,900"
431 AULNEAU ST,6070570000,TS-TWO STOREY,2016,10,"$239,900","$250,900"
433 AULNEAU ST,6070571000,TS-TWO STOREY,2017,1,"$208,000","$215,700"
456 AULNEAU ST,6070604000,OH-ONE & 1/2 STOREY,2017,12,"$330,000","$332,600"
462 AULNEAU ST,6070606000,TS-TWO STOREY,2017,7,"$360,000","$367,600"
465 AULNEAU ST,6070581000,OH-ONE & 1/2 STOREY,2018,2,"$475,000","$476,400"
514 AULNEAU ST,6070242000,TS-TWO STOREY,2016,8,"$385,000","$404,600"
532 AULNEAU ST,6070248000,OH-ONE & 1/2 STOREY,2017,8,"$450,000","$458,600"
155 BERTRAND ST,6070546000,OS-ONE STOREY,2017,5,"$185,000","$190,000"
195 BERTRAND ST,6070533000,OS-ONE STOREY,2016,7,"$119,900","$126,400"
233 BERTRAND ST,6070518000,OH-ONE & 1/2 STOREY,2017,11,"$425,000","$429,700"
236 BERTRAND ST,6070041100,OS-ONE STOREY,2017,6,"$287,000","$293,900"
245 BERTRAND ST,6070514000,O3-ONE & 3/4 STOREY,2017,2,"$213,000","$220,500"
283 BERTRAND ST,6071027000,OS-ONE STOREY,2016,4,"$220,000","$233,600"
334 BERTRAND ST,6081368000,BL-BI-LEVEL,2017,8,"$615,238.10","$626,900"
340 BERTRAND ST,6081369000,OH-ONE & 1/2 STOREY,2017,7,"$243,000","$248,100"
349 BERTRAND ST,6070892000,TS-TWO STOREY,2018,3,"$303,000","$303,000"
558 BOURGEAULT ST,6061334000,OS-ONE STOREY,2017,10,"$170,000","$172,200"
365 CABANA PL,6061337000,OH-ONE & 1/2 STOREY,2016,6,"$335,000","$354,100"
379 CABANA PL,6061341000,OH-ONE & 1/2 STOREY,2016,8,"$314,900","$331,000"
386 CABANA PL,6061357000,OS-ONE STOREY,2018,1,"$220,000","$221,100"
315 DE LA CATHEDRALE AVE,6060805000,TS-TWO STOREY,2016,10,"$315,000","$329,500"
395 DE LA MORENIE ST,6070871000,OS-ONE STOREY,2018,2,"$280,000","$280,800"
418 DE LA MORENIE ST,6070880000,OS-ONE STOREY,2017,10,"$260,000","$263,400"
